,Palavras,Rotulo,Sentenca
179,percebemos,O,19
180,pouco,B-CARACTERISTICA_SENSORIAL_AROMA,19
181,álcool,I-CARACTERISTICA_SENSORIAL_AROMA,19
182,",",O,19
183,destacando,O,19
184,aromas,O,19
185,adocicados,B-CARACTERISTICA_SENSORIAL_AROMA,19
186,e,O,19
187,frutados,B-CARACTERISTICA_SENSORIAL_AROMA,19
188,.,O,19
189,Do,O,20
190,mesmo,O,20
191,modo,O,20
192,",",O,20
193,apresenta,O,20
194,baixa,B-CARACTERISTICA_SENSORIAL_SABOR,20
195,acidez,I-CARACTERISTICA_SENSORIAL_SABOR,20
196,e,O,20
197,o,O,20
198,sabor,O,20
199,é,O,20
200,suave,B-CARACTERISTICA_SENSORIAL_SABOR,20
201,",",O,20
202,adocicado,B-CARACTERISTICA_SENSORIAL_SABOR,20
203,e,O,20
204,levemente,B-CARACTERISTICA_SENSORIAL_SABOR,20
205,picante,I-CARACTERISTICA_SENSORIAL_SABOR,20
206,que,O,20
207,lembra,O,20
208,um,O,20
209,pouco,O,20
210,o,O,20
211,gengibre,O,20
212,.,O,20
213,O,O,21
214,retrogosto,O,21
215,é,O,21
216,agradável,O,21
217,e,O,21
218,inusitado,O,21
219,de,O,21
220,uma,O,21
221,madeira,B-CARACTERISTICA_SENSORIAL_SABOR,21
222,que,O,21
223,poucos,O,21
224,estão,O,21
225,acostumados,O,21
226,a,O,21
227,utilizar,O,21
228,.,O,21
229,Mais,O,22
230,uma,O,22
231,excelente,O,22
232,cachaça,O,22
233,da,O,22
234,Princesa,B-NOME_LOCAL,22
235,Isabel,I-NOME_LOCAL,22
236,que,O,22
237,todo,O,22
238,apreciador,O,22
239,deveria,O,22
240,experimentar,O,22
241,.,O,22
242,De,O,22
243,coloração,O,22
244,amarela,B-CARACTERISTICA_SENSORIAL_COR,22
245,intensa,I-CARACTERISTICA_SENSORIAL_COR,22
246,",",O,22
247,esta,O,22
248,cachaça,O,22
249,se,O,22
250,apresenta,O,22
251,límpida,B-CARACTERISTICA_SENSORIAL_COR,22
252,",",O,22
253,brilhante,B-CARACTERISTICA_SENSORIAL_COR,22
254,e,O,22
255,com,O,22
256,ótimo,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,22
257,corpo,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,22
258,.,O,22
259,No,O,23
260,olfato,O,23
261,destaca,O,23
262,-,O,23
263,se,O,23
264,cravo,B-CARACTERISTICA_SENSORIAL_AROMA,23
265,",",O,23
266,canela,B-CARACTERISTICA_SENSORIAL_AROMA,23
267,",",O,23
268,baunilha,B-CARACTERISTICA_SENSORIAL_AROMA,23
269,e,O,23
270,um,O,23
271,final,O,23
272,de,O,23
273,chocolate,B-CARACTERISTICA_SENSORIAL_AROMA,23
274,.,O,23
275,Na,O,24
276,boca,O,24
277,encontramos,O,24
278,baunilha,B-CARACTERISTICA_SENSORIAL_SABOR,24
279,",",O,24
280,coco,B-CARACTERISTICA_SENSORIAL_SABOR,24
281,",",O,24
282,mel,B-CARACTERISTICA_SENSORIAL_SABOR,24
283,e,O,24
284,rapadura,B-CARACTERISTICA_SENSORIAL_SABOR,24
285,em,O,24
286,perfeita,O,24
287,harmonia,O,24
288,com,O,24
289,seu,O,24
290,corpo,O,24
291,alcoólico,O,24
292,mais,O,24
293,acentuado,O,24
294,.,O,24
295,Mais,O,25
296,uma,O,25
297,Cachaça,O,25
298,de,O,25
299,qualidade,O,25
300,produzida,O,25
301,pela,O,25
302,Princesa,B-NOME_ORGANIZACAO,25
303,Isabel,I-NOME_ORGANIZACAO,25
304,sob,O,25
305,os,O,25
306,cuidados,O,25
307,do,O,25
308,Mestre,O,25
309,Leandro,B-NOME_PESSOA,25
310,Marelli,I-NOME_PESSOA,25
311,",",O,25
312,um,O,25
313,mago,O,25
314,dos,O,25
315,destilados,O,25
316,.,O,25
317,>,O,25
318,Volume,O,26
319,:,O,26
320,500ml,B-VOLUME,26
321,Graduação,O,27
322,Alcoólica,O,27
323,:,O,27
324,40%,B-GRADUACAO_ALCOOLICA,27
325,RECIPIENTE,O,28
326,DE,O,28
327,ARMAZENAMENTO,O,28
328,:,O,28
329,Tipo,O,28
330,Barril,O,28
331,:,O,28
332,Jaqueira,B-TIPO_MADEIRA,28
333,Tipo,O,29
334,:,O,29
335,Armazenada,O,29
336,Produtor,O,30
337,:,O,30
338,Princesa,B-NOME_ORGANIZACAO,30
339,Isabel,I-NOME_ORGANIZACAO,30
340,Local,O,31
341,de,O,31
342,Produção,O,31
343,:,O,31
344,Linhares,B-NOME_LOCAL,31
345,/,O,31
346,Espírito,B-NOME_LOCAL,31
347,Santo,I-NOME_LOCAL,31
348,id,O,32
349,:,O,32
350,2,O,32
351,NOME,O,33
352,DA,O,33
353,CACHAÇA,O,33
354,:,O,33
355,Cachaça,O,33
356,Colombina,B-CARACTERISTICA_SENSORIAL_AROMA,33
357,Chita,I-CARACTERISTICA_SENSORIAL_AROMA,33
358,PREÇO,O,34
359,:,O,34
360,R$,B-PRECO,34
361,100,I-PRECO,34
362,",",I-PRECO,34
363,00,I-PRECO,34
364,DESCRIÇÃO,O,35
365,DA,O,35
366,CACHAÇA,O,35
367,:,O,35
368,Colombina,B-NOME_BEBIDA,35
369,Chita,I-NOME_BEBIDA,35
370,700ml,B-VOLUME,35
371,Volume,O,36
372,:,O,36
373,700ml,B-VOLUME,36
374,Graduação,O,37
375,Alcoólica,O,37
376,:,O,37
377,40%,B-GRADUACAO_ALCOOLICA,37
378,RECIPIENTE,O,38
379,DE,O,38
380,ARMAZENAMENTO,O,38
381,:,O,38
382,Tipo,O,38
383,Barril,O,38
384,:,O,38
385,Jatobá,B-TIPO_MADEIRA,38
386,Tipo,O,39
387,:,O,39
388,Envelhecida,O,39
389,Produtor,O,40
390,:,O,40
391,RXM,B-NOME_ORGANIZACAO,40
392,Agropecuária,I-NOME_ORGANIZACAO,40
393,Local,O,41
394,de,O,41
395,Produção,O,41
396,:,O,41
397,Alvinopolis,B-NOME_LOCAL,41
398,/,O,41
399,MG,B-NOME_LOCAL,41
400,id,O,42
401,:,O,42
402,3,O,42
403,NOME,O,43
404,DA,O,43
405,CACHAÇA,O,43
406,:,O,43
407,Cachaça,O,43
408,colombina,B-NOME_BEBIDA,43
409,3,B-TEMPO_ARMAZENAMENTO,43
410,anos,I-TEMPO_ARMAZENAMENTO,43
411,PREÇO,O,44
412,:,O,44
413,R$,B-PRECO,44
414,52,I-PRECO,44
415,",",I-PRECO,44
416,00,I-PRECO,44
417,DESCRIÇÃO,O,45
418,DA,O,45
419,CACHAÇA,O,45
420,:,O,45
421,Envelhecida,O,45
422,em,O,45
423,seculares,B-RECIPIENTE_ARMAZENAMENTO,45
424,paróis,I-RECIPIENTE_ARMAZENAMENTO,45
425,de,O,45
426,Jatobá,B-TIPO_MADEIRA,45
427,",",O,45
428,conserva,O,45
429,o,O,45
430,puro,O,45
431,sabor,O,45
432,da,O,45
433,cana,B-CARACTERISTICA_SENSORIAL_SABOR,45
434,e,O,45
435,uma,O,45
436,sutil,O,45
437,coloração,O,45
438,da,O,45
439,madeira,B-CARACTERISTICA_SENSORIAL_COR,45
440,.,O,45
441,Premiações,O,46
442,:,O,46
443,1º,O,46
444,Lugar,O,46
445,na,O,46
446,Exposição,O,46
447,do,O,46
448,Centenário,O,46
449,",",O,46
450,semana,O,46
451,da,O,46
452,arte,O,46
453,moderna,O,46
454,/,O,46
455,1922,B-TEMPO,46
456,1º,O,46
457,Lugar,O,46
458,no,O,46
459,concurso,O,46
460,de,O,46
461,cachaça,O,46
462,de,O,46
463,qualidade,O,46
464,Hotel,B-NOME_ORGANIZACAO,46
465,Sofitel,I-NOME_ORGANIZACAO,46
466,Rio,B-NOME_LOCAL,46
467,de,I-NOME_LOCAL,46
468,Janeiro,I-NOME_LOCAL,46
469,/,O,46
470,2005,B-TEMPO,46
471,E,O,46
472,destaque,O,46
473,entre,O,46
474,as,O,46
475,10,O,46
476,melhores,O,46
477,cachaças,O,46
478,envelhecida,O,46
479,na,O,46
480,Expocachaça,B-NOME_ORGANIZACAO,46
481,São,B-NOME_LOCAL,46
482,Paulo,I-NOME_LOCAL,46
483,(,O,46
484,Mercado,B-NOME_ORGANIZACAO,46
485,Municipal,I-NOME_ORGANIZACAO,46
486,),O,46
487,2011,B-TEMPO,46
488,.,O,46
489,Volume,O,47
490,:,O,47
491,700ml,B-VOLUME,47
492,Graduação,O,48
493,Alcoólica,O,48
494,:,O,48
495,41,B-GRADUACAO_ALCOOLICA,48
496,",",I-GRADUACAO_ALCOOLICA,48
497,5%,I-GRADUACAO_ALCOOLICA,48
498,RECIPIENTE,O,49
499,DE,O,49
500,ARMAZENAMENTO,O,49
501,:,O,49
502,Tipo,O,49
503,Barril,O,49
504,:,O,49
505,Paróis,B-RECIPIENTE_ARMAZENAMENTO,49
506,de,O,49
507,Jatobá,B-TIPO_MADEIRA,49
508,Tipo,O,50
509,:,O,50
510,Armazenada,O,50
511,Produtor,O,51
512,:,O,51
513,RXM,B-NOME_ORGANIZACAO,51
514,Agropecuaria,I-NOME_ORGANIZACAO,51
515,Local,O,52
516,de,O,52
517,Produção,O,52
518,:,O,52
519,Alvinopolis,B-NOME_LOCAL,52
520,/,O,52
521,MG,B-NOME_LOCAL,52
522,id,O,53
523,:,O,53
524,4,O,53
525,NOME,O,54
526,DA,O,54
527,CACHAÇA,O,54
528,:,O,54
529,Cachaça,O,54
530,Colombina,B-NOME_BEBIDA,54
531,10,B-TEMPO_ARMAZENAMENTO,54
532,anos,I-TEMPO_ARMAZENAMENTO,54
533,PREÇO,O,55
534,:,O,55
535,R$,B-PRECO,55
536,272,I-PRECO,55
537,",",I-PRECO,55
538,00,I-PRECO,55
539,DESCRIÇÃO,O,56
540,DA,O,56
541,CACHAÇA,O,56
542,:,O,56
543,Cachaça,O,56
544,Colombina,B-NOME_BEBIDA,56
545,10,B-TEMPO_ARMAZENAMENTO,56
546,anos,I-TEMPO_ARMAZENAMENTO,56
547,700ml,I-VOLUME,56
548,A,O,56
549,colombina,B-NOME_BEBIDA,56
550,teve,O,56
551,sua,O,56
552,qualidade,O,56
553,aferida,O,56
554,como,O,56
555,a,O,56
556,melhor,O,56
557,cachaça,O,56
558,envelhecida,O,56
559,.,O,56
560,Série,O,57
561,Especial,O,57
562,10,B-TEMPO_ARMAZENAMENTO,57
563,Anos,I-TEMPO_ARMAZENAMENTO,57
564,.,O,57
565,Envelhecida,O,58
566,em,O,58
567,seculares,B-RECIPIENTE_ARMAZENAMENTO,58
568,paróis,I-RECIPIENTE_ARMAZENAMENTO,58
569,de,O,58
570,Jatobá,B-TIPO_MADEIRA,58
571,",",O,58
572,conserva,O,58
573,o,O,58
574,puro,O,58
575,sabor,O,58
576,da,O,58
577,cana,B-CARACTERISTICA_SENSORIAL_SABOR,58
578,e,O,58
579,uma,O,58
580,sutil,O,58
581,coloração,O,58
582,da,O,58
583,madeira,B-CARACTERISTICA_SENSORIAL_COR,58
584,.,O,58
585,Premiações,O,59
586,:,O,59
587,1º,O,59
588,Lugar,O,59
589,no,O,59
590,concurso,O,59
591,de,O,59
592,cachaça,O,59
593,de,O,59
594,qualidade,O,59
595,Hotel,B-NOME_ORGANIZACAO,59
596,Sofitel,I-NOME_ORGANIZACAO,59
597,Rio,B-NOME_LOCAL,59
598,de,I-NOME_LOCAL,59
599,Janeiro,I-NOME_LOCAL,59
600,/,O,59
601,2005,B-TEMPO,59
602,Volume,O,60
603,:,O,60
604,700ml,B-VOLUME,60
605,Graduação,O,61
606,Alcoólica,O,61
607,:,O,61
608,45%,B-GRADUACAO_ALCOOLICA,61
609,RECIPIENTE,O,62
610,DE,O,62
611,ARMAZENAMENTO,O,62
612,:,O,62
613,Tipo,O,62
614,Barril,O,62
615,:,O,62
616,10,B-TEMPO_ARMAZENAMENTO,62
617,anos,I-TEMPO_ARMAZENAMENTO,62
618,Jatobá,B-TIPO_MADEIRA,62
619,Tipo,O,63
620,:,O,63
621,Armazenada,O,63
622,Produtor,O,64
623,:,O,64
624,RXM,B-NOME_ORGANIZACAO,64
625,Agropecuaria,I-NOME_ORGANIZACAO,64
626,Local,O,65
627,de,O,65
628,Produção,O,65
629,:,O,65
630,Alvinopolis,B-NOME_LOCAL,65
631,/,O,65
632,MG,B-NOME_LOCAL,65
633,id,O,66
634,:,O,66
635,5,O,66
636,NOME,O,67
637,DA,O,67
638,CACHAÇA,O,67
639,:,O,67
640,Cachaça,O,67
641,Babuxca,B-NOME_BEBIDA,67
642,Tangerina,I-NOME_BEBIDA,67
643,com,I-NOME_BEBIDA,67
644,Pimenta,I-NOME_BEBIDA,67
645,PREÇO,O,68
646,:,O,68
647,R$,B-PRECO,68
648,52,I-PRECO,68
649,",",I-PRECO,68
650,00,I-PRECO,68
651,DESCRIÇÃO,O,69
652,DA,O,69
653,CACHAÇA,O,69
654,:,O,69
655,Aperitivo,O,69
656,Babuxca,B-NOME_BEBIDA,69
657,Mel,I-NOME_BEBIDA,69
658,Tangerina,I-NOME_BEBIDA,69
659,e,I-NOME_BEBIDA,69
660,Pimenta,I-NOME_BEBIDA,69
661,.,O,69
662,A,O,70
663,Babuxca,B-NOME_BEBIDA,70
664,de,I-NOME_BEBIDA,70
665,Tangerina,I-NOME_BEBIDA,70
666,é,O,70
667,diferente,O,70
668,de,O,70
669,tudo,O,70
670,o,O,70
671,que,O,70
672,você,O,70
673,já,O,70
674,provou,O,70
675,!,O,70
676,Agrada,O,71
677,a,O,71
678,todas,O,71
679,a,O,71
680,tribos,O,71
681,.,O,71
682,Possui,O,72
683,até,O,72
684,um,O,72
685,cheio,O,72
686,especial,O,72
687,vindo,O,72
688,do,O,72
689,óleo,B-CARACTERISTICA_SENSORIAL_AROMA,72
690,da,I-CARACTERISTICA_SENSORIAL_AROMA,72
691,casca,I-CARACTERISTICA_SENSORIAL_AROMA,72
692,da,I-CARACTERISTICA_SENSORIAL_AROMA,72
693,tangerina,I-CARACTERISTICA_SENSORIAL_AROMA,72
694,.,O,72
695,Conta,O,73
696,com,O,73
697,a,O,73
698,pimenta,O,73
699,doce,O,73
700,de,O,73
701,moça,O,73
702,na,O,73
703,composição,O,73
704,",",O,73
705,o,O,73
706,que,O,73
707,adiciona,O,73
708,um,O,73
709,toque,O,73
710,leve,B-CARACTERISTICA_SENSORIAL_SABOR,73
711,e,O,73
712,delicado,B-CARACTERISTICA_SENSORIAL_SABOR,73
713,mas,O,73
714,não,B-CARACTERISTICA_SENSORIAL_SABOR,73
715,picante,I-CARACTERISTICA_SENSORIAL_SABOR,73
716,.,O,73
717,Para,O,74
718,completar,O,74
719,a,O,74
720,composição,O,74
721,",",O,74
722,conta,O,74
723,com,O,74
724,uma,O,74
725,cachaça,O,74
726,com,O,74
727,um,O,74
728,rígido,O,74
729,controle,O,74
730,de,O,74
731,qualidade,O,74
732,.,O,74
733,O,O,75
734,mel,O,75
735,é,O,75
736,TOTALMENTE,O,75
737,orgânico,O,75
738,e,O,75
739,de,O,75
740,alta,O,75
741,qualidade,O,75
742,.,O,75
743,Produto,O,76
744,100%,O,76
745,natural,O,76
746,e,O,76
747,sem,O,76
748,nenhum,O,76
749,conservante,O,76
750,ORIGEM,O,76
751,DO,O,76
752,NOME,O,76
753,Babu,O,76
754,é,O,76
755,o,O,76
756,apelido,O,76
757,do,O,76
758,criador,O,76
759,da,O,76
760,nossa,O,76
761,fórmula,O,76
762,.,O,76
763,Assim,O,77
764,",",O,77
765,resolvemos,O,77
766,dar,O,77
767,o,O,77
768,mesmo,O,77
769,nome,O,77
770,para,O,77
771,o,O,77
772,nosso,O,77
773,mascote,O,77
774,(,O,77
775,esse,O,77
776,macaquinho,O,77
777,simpático,O,77
778,),O,77
779,e,O,77
780,homenageá,O,77
781,-,O,77
782,lo,O,77
783,com,O,77
784,o,O,77
785,nome,O,77
786,da,O,77
787,marca,O,77
788,de,O,77
789,uma,O,77
790,forma,O,77
791,divertida,O,77
792,:,O,77
793,Babuxca,B-NOME_ORGANIZACAO,77
794,.,O,77
795,Volume,O,78
796,:,O,78
797,700ml,B-VOLUME,78
798,Graduação,O,79
799,Alcoólica,O,79
800,:,O,79
801,18,B-GRADUACAO_ALCOOLICA,79
802,",",I-GRADUACAO_ALCOOLICA,79
803,5%,I-GRADUACAO_ALCOOLICA,79
804,RECIPIENTE,O,80
805,DE,O,80
806,ARMAZENAMENTO,O,80
807,:,O,80
808,Tipo,O,80
809,Barril,O,80
810,:,O,80
811,Não,O,80
812,Há,O,80
813,Tipo,O,81
814,:,O,81
815,Bebida,O,81
816,Mista,O,81
817,Produtor,O,82
818,:,O,82
819,BABUXCA,B-NOME_ORGANIZACAO,82
820,Local,O,83
821,de,O,83
822,Produção,O,83
823,:,O,83
824,Sorocaba,B-NOME_LOCAL,83
825,/,O,83
826,São,B-NOME_LOCAL,83
827,Paulo,I-NOME_LOCAL,83
828,id,O,84
829,:,O,84
830,6,O,84
831,NOME,O,85
832,DA,O,85
833,CACHAÇA,O,85
834,:,O,85
835,Cachaça,O,85
836,Babuxca,B-NOME_BEBIDA,85
837,Frutas,I-NOME_BEBIDA,85
838,Vermelhas,I-NOME_BEBIDA,85
839,PREÇO,O,86
840,:,O,86
841,R$,B-PRECO,86
842,52,I-PRECO,86
843,",",I-PRECO,86
844,00,I-PRECO,86
845,DESCRIÇÃO,O,87
846,DA,O,87
847,CACHAÇA,O,87
848,:,O,87
849,Este,O,87
850,sabor,O,87
851,é,O,87
852,o,O,87
853,xodó,O,87
854,daqueles,O,87
855,que,O,87
856,flertam,O,87
857,com,O,87
858,algo,O,87
859,mais,O,87
860,doce,O,87
861,.,O,87
862,Apesar,O,88
863,disso,O,88
864,",",O,88
865,seu,O,88
866,gosto,O,88
867,final,O,88
868,passa,O,88
869,uma,O,88
870,sensação,O,88
871,distinta,B-CARACTERISTICA_SENSORIAL_SABOR,88
872,do,O,88
873,comum,O,88
874,",",O,88
875,uma,O,88
876,vez,O,88
877,que,O,88
878,todos,O,88
879,os,O,88
880,ingredientes,O,88
881,são,O,88
882,naturais,O,88
883,e,O,88
884,sem,O,88
885,conservantes,O,88
886,.,O,88
887,Por,O,89
888,conta,O,89
889,disso,O,89
890,",",O,89
891,essa,O,89
892,é,O,89
893,a,O,89
894,Babuxca,B-NOME_BEBIDA,89
895,que,O,89
896,mais,O,89
897,muda,O,89
898,de,O,89
899,cor,O,89
900,ao,O,89
901,longo,O,89
902,do,O,89
903,tempo,O,89
904,",",O,89
905,suavemente,O,89
906,alterando,O,89
907,entre,O,89
908,tons,O,89
909,de,O,89
910,vermelho,O,89
911,",",O,89
912,da,O,89
913,cor,B-CARACTERISTICA_SENSORIAL_COR,89
914,do,I-CARACTERISTICA_SENSORIAL_COR,89
915,morango,I-CARACTERISTICA_SENSORIAL_COR,89
916,para,O,89
917,a,O,89
918,amora,B-CARACTERISTICA_SENSORIAL_COR,89
919,.,O,89
920,Mas,O,90
921,não,O,90
922,se,O,90
923,preocupe,O,90
924,",",O,90
925,esse,O,90
926,é,O,90
927,um,O,90
928,processo,O,90
929,natural,O,90
930,de,O,90
931,alimentos,O,90
932,sem,O,90
933,corante,O,90
934,.,O,90
935,Babuxca,B-NOME_BEBIDA,91
936,é,O,91
937,uma,O,91
938,bebida,O,91
939,alcoólica,O,91
940,mista,O,91
941,feita,O,91
942,com,O,91
943,ingredientes,O,91
944,100%,O,91
945,naturais,O,91
946,.,O,91
947,ORIGEM,O,92
948,DO,O,92
949,NOME,O,92
950,Babu,O,92
951,é,O,92
952,o,O,92
953,apelido,O,92
954,do,O,92
955,criador,O,92
956,da,O,92
957,nossa,O,92
958,fórmula,O,92
959,.,O,92
960,Assim,O,93
961,",",O,93
962,resolvemos,O,93
963,dar,O,93
964,o,O,93
965,mesmo,O,93
966,nome,O,93
967,para,O,93
968,o,O,93
969,nosso,O,93
970,mascote,O,93
971,(,O,93
972,esse,O,93
973,macaquinho,O,93
974,simpático,O,93
975,),O,93
976,e,O,93
977,homenageá,O,93
978,-,O,93
979,lo,O,93
980,com,O,93
981,o,O,93
982,nome,O,93
983,da,O,93
984,marca,O,93
985,de,O,93
986,uma,O,93
987,forma,O,93
988,divertida,O,93
989,:,O,93
990,Babuxca,B-NOME_ORGANIZACAO,93
991,.,O,93
992,Volume,O,94
993,:,O,94
994,700ml,B-VOLUME,94
995,Graduação,O,95
996,Alcoólica,O,95
997,:,O,95
998,18,B-GRADUACAO_ALCOOLICA,95
999,",",I-GRADUACAO_ALCOOLICA,95
1000,5%,I-GRADUACAO_ALCOOLICA,95
1001,RECIPIENTE,O,96
1002,DE,O,96
1003,ARMAZENAMENTO,O,96
1004,:,O,96
1005,Tipo,O,96
1006,Barril,O,96
1007,:,O,96
1008,Não,O,96
1009,Há,O,96
1010,Tipo,O,97
1011,:,O,97
1012,Bebida,O,97
1013,mista,O,97
1014,Produtor,O,98
1015,:,O,98
1016,BABUXCA,B-NOME_ORGANIZACAO,98
1017,Local,O,99
1018,de,O,99
1019,Produção,O,99
1020,:,O,99
1021,Sorocaba,B-NOME_LOCAL,99
1022,/,O,99
1023,SP,B-NOME_LOCAL,99
1024,id,O,100
1025,:,O,100
1026,7,O,100
1027,NOME,O,101
1028,DA,O,101
1029,CACHAÇA,O,101
1030,:,O,101
1031,CACHAÇA,O,101
1032,SERRA,B-NOME_BEBIDA,101
1033,MORENA,I-NOME_BEBIDA,101
1034,OURO,B-CLASSIFICACAO_BEBIDA,101
1035,PREÇO,O,102
1036,:,O,102
1037,R$,B-PRECO,102
1038,56,I-PRECO,102
1039,",",I-PRECO,102
1040,00,I-PRECO,102
1041,DESCRIÇÃO,O,103
1042,DA,O,103
1043,CACHAÇA,O,103
1044,:,O,103
1045,Serra,B-NOME_BEBIDA,103
1046,Morena,I-NOME_BEBIDA,103
1047,Ouro,B-CLASSIFICACAO_BEBIDA,103
1048,670ml,B-VOLUME,103
1049,Volume,O,104
1050,:,O,104
1051,670ml,B-VOLUME,104
1052,Graduação,O,105
1053,Alcoólica,O,105
1054,:,O,105
1055,40%,B-GRADUACAO_ALCOOLICA,105
1056,RECIPIENTE,O,106
1057,DE,O,106
1058,ARMAZENAMENTO,O,106
1059,:,O,106
1060,Tipo,O,106
1061,Barril,O,106
1062,:,O,106
1063,Carvalho,B-TIPO_MADEIRA,106
1064,e,O,106
1065,Jequitibá,B-TIPO_MADEIRA,106
1066,Tipo,O,107
1067,:,O,107
1068,Ouro,B-CLASSIFICACAO_BEBIDA,107
1069,Produtor,O,108
1070,:,O,108
1071,Serra,B-NOME_ORGANIZACAO,108
1072,Morena,I-NOME_ORGANIZACAO,108
1073,Local,O,109
1074,de,O,109
1075,Produção,O,109
1076,:,O,109
1077,Belo,B-NOME_LOCAL,109
1078,Vale,I-NOME_LOCAL,109
1079,/,O,109
1080,Minas,B-NOME_LOCAL,109
1081,Gerais,I-NOME_LOCAL,109
1082,id,O,110
1083,:,O,110
1084,8,O,110
1085,NOME,O,111
1086,DA,O,111
1087,CACHAÇA,O,111
1088,:,O,111
1089,Cachaça,O,111
1090,da,O,111
1091,Tulha,B-NOME_BEBIDA,111
1092,Prata,B-CLASSIFICACAO_BEBIDA,111
1093,PREÇO,O,112
1094,:,O,112
