,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TIPO,PRODUTOR,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,ANÁLISE_SENSORIAL,HISTÓRIA_DO_ALAMBIQUE,TIPO_DO_PRODUTO,HARMONIZAÇÃO,PREMIOS,ANÁLISE_DO_CACHACIER,INFORMAÇÕES_DO_PRODUTO,MODO_DE_PRODUÇÃO,PALAVRAS_COMUMENTE_USADAS,INGREDIENTES,INFORMAÇÕES_TÉCNICAS,TEXTO_DESCRITIVO,CONSUMO
10,NOME DA CACHAÇA: Cachaça Maribondo,"PREÇO: R$ 45,00","['DESCRIÇÃO DA CACHAÇA: A cachaça é produzida em Guarabira no estado da Paraíba desde 1901, e orgulha-se de aproveitar apenas o coração da destilação na produção da bebida, que posteriormente repousa em tonéis de freijó para apurar o sabor.']",Volume: 890ml ,Graduação Alcoólica: 40 % GL ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Freijó ,Tipo: Armazenada ,Produtor: Engenho Palmeira ,Local de Produção: Guarabira / Paraíba ,,,,,,,,,,,,,,
11,NOME DA CACHAÇA: Porto Estrela Ouro 1 Litro ,"PREÇO: R$ 150,00","['DESCRIÇÃO DA CACHAÇA: A Cachaça Porto Estrela é produzida na cidade de Pedras de Maria da Cruz , Minas Gerais, onde é engarrafada em vidro com tampa de rosca.', 'Cachaça de grande suavidade.', 'Envelhecida em tonéis de madeira.']",Volume: 1000ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Amburana e Carvalho ,Tipo: Envelhecida ,Produtor: Fazenda do Cantagalo ,Local de Produção: Pedras de Maria da Cruz / Minas Gerais ,,,,,,,,,,,,,,
12,NOME DA CACHAÇA: Santo Mel ,"PREÇO: R$ 51,00","['DESCRIÇÃO DA CACHAÇA: Aperitivo Santo Mel.', 'Destilado alcoólico simples de cana de açúcar e mel.', 'Combinação perfeita entre cachaça e mel, para todos os momentos!', 'Ideal para preparar caipirinha e também para ser apreciada pura.', 'Fica mais gostosa ainda se degustada extremamente gelada!', 'Intensifique seus momentos com Santo Mel.', 'Conteúdo 700ml.', 'Graduação Alcoólica 27%.']",Volume: 700 ml ,Graduação Alcoólica: 27 % GL ,RECIPIENTE DE ARMAZENAMENTO: nan,TIPO: nan,PRODUTOR: nan,LOCAL DE PRODUÇÃO: nan,,,,,,,,,,,,,,
13,NOME DA CACHAÇA: João Mendes Prata,"PREÇO: R$ 30,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Joao Mendes prata ( Inox )'],Volume: 600 ML,GRADUAÇÃO ALCOÓLICA: nan,RECIPIENTE DE ARMAZENAMENTO: nan,TIPO: nan,PRODUTOR: nan,LOCAL DE PRODUÇÃO: nan,,,,,,,,,,,,,,
14,NOME DA CACHAÇA: Gouveia Brasil MEI - Cachaça Limao e Mel,"PREÇO: R$ 79,90","['DESCRIÇÃO DA CACHAÇA: Licor Gouveia Brasil Mel e Limão 375ml.', 'Bebida jovem, leve e elegante, a MEi representa a mistura bem calibrada de uma cachaça extremamente pura, com dupla destilação, misturada às cores e sabores da terra, com o esmero que caracteriza as bebidas do Grupo Gouveia Brasil.', 'Disponível nas versões mel e limão e jabuticaba, a MEi nasce com um discurso contemporâneo, alinhado e pautado na criatividade, alegria e responsabilidade social.', 'Ideal para o consumo em festas, baladas e house parties, servida sempre bem gelada, a MEi também pode integrar coquetéis elaborados e caipirinhas.', 'Com teor alcoólico de 18%, a bebida conquista facilmente o paladar feminino e também se adequa perfeitamente às harmonizações com sobremesas, dividindo espaço com licores e vinhos fortificados.', 'Beba com responsabilidade!', 'Sonhe sem moderação!', 'Sirva bem gelada']",Volume: 375 ml,GRADUAÇÃO ALCOÓLICA: nan,RECIPIENTE DE ARMAZENAMENTO: nan,TIPO: nan,PRODUTOR: nan,LOCAL DE PRODUÇÃO: nan,,,,,,,,,,,,,,
15,NOME DA CACHAÇA: Cachaça Reserva do Gerente Carvalho 5 anos,"PREÇO: R$ 58,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Reserva do Gerente Carvalho 5 anos 700ml'],Volume: 700ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 5 anos no Carvalho ,Tipo: Envelhecida ,PRODUTOR: nan,Local de Produção: Guarapari / Espirito Santo ,,,,,,,,,,,,,,
16,NOME DA CACHAÇA: Cachaça Reserva do Gerente Prata,"PREÇO: R$ 45,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Reserva do Gerente Prata 700ml'],Volume: 700ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Inox - 6 meses ,Tipo: Branca ,PRODUTOR: nan,Local de Produção: Guarapari / Espírito Santo ,,,,,,,,,,,,,,
17,NOME DA CACHAÇA: Cachaça Maria da Cruz,"PREÇO: R$ 480,00","['DESCRIÇÃO DA CACHAÇA: Cachaça Maria da Cruz 700ml - Produzida e engarrafada pela Fazenda Canta Galo na cidade de Pedras de Maria da Cruz na regiao Norte de Minas Gerais.', 'Fora de produção ultimas garrafas.', 'Jose de Alencar ex Vice Presidente.']",Volume: 700ml ,Graduação Alcoólica: 46% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 3 anos em Amburana ,Tipo: Envelhecida ,PRODUTOR: nan,Local de Produção: Pedras de Maria da Cruz / Minas Gerais ,,,,,,,,,,,,,,
18,NOME DA CACHAÇA: Cachaça Taverna de Minas Carvalho,"PREÇO: R$ 60,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Taverna de Minas Carvalho 750ml'],Volume: 750ml ,Graduação Alcoólica: 39% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 1 ano no Carvalho ,Tipo: Envelhecida ,Produtor: Taverna de Minas ,Local de Produção: Itaverava / Minas Gerais ,,,,,,,,,,,,,,
19,NOME DA CACHAÇA: Taverna de Minas Amburana,"PREÇO: R$ 69,00",['DESCRIÇÃO DA CACHAÇA: Taverna de Minas Amburana 750ml'],Volume: 750ml ,Graduação Alcoólica: 39% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 1 ano Amburana ,Tipo: Envelhecida ,Produtor: Taverna de Minas ,Local de Produção: Itaverava / Minas Gerais ,,,,,,,,,,,,,,
20,NOME DA CACHAÇA: Cachaça Taverna de Minas Jequitibá,"PREÇO: R$ 69,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Taverna de Minas Jequitibá 750ml'],Volume: 750ml ,Graduação Alcoólica: 39% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 1 Ano no Jequitibá ,Tipo: Armazenada ,Produtor: Taverna de Minas ,Local de Produção: Itaverava / Minas Gerais ,,,,,,,,,,,,,,
21,NOME DA CACHAÇA: Cachaça Weber Haus Leandro Batista,"PREÇO: R$ 80,00","['DESCRIÇÃO DA CACHAÇA: Cachaça Weber Haus Leandro Batista 750ml Madeiras: Amburana, Bálsamo e Canela Sassafrás Envelhecimento: 1 ano em cada Medalha de Ouro no Concurso Mundial de Bruxelas Edição Brasil - 2018 8º Colocado no III Ranking da Cúpula da Cachaça 2018.']",Volume: 750 ml ,Graduação Alcoólica: 38 ,"RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Amburana, Balsamo e Canela e Sassafras ",Tipo: Envelhecida ,Produtor: Weber Haus ,Local de Produção: Ivotí / Rio Grande do Sul ,,,,,,,,,,,,,,
22,NOME DA CACHAÇA: Cachaça Gogó da Ema Rock N´Roll Caveira Bálsamo,"PREÇO: R$ 103,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Gogó da Ema Rock N´Roll Caveira Bálsamo 700ml'],Volume: 700ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 3 anos no Bálsamo ,Tipo: Envelhecida ,Produtor: Gogó da Ema ,Local de Produção: São Sebastião / Alagoas ,,,,,,,,,,,,,,
23,NOME DA CACHAÇA: Lançamento Weber Haus ( 7 Madeiras + Umas e Outras + Leandro Batista ) ,"PREÇO: R$ 220,00",['DESCRIÇÃO DA CACHAÇA: Lançamento Weber Haus ( 7 Madeiras + Umas e Outras + Leandro Batista )'],Volume: 750ml ,GRADUAÇÃO ALCOÓLICA: nan,RECIPIENTE DE ARMAZENAMENTO: nan,Tipo: Envelhecida ,Produtor: Weber Haus ,Local de Produção: Ivotí / Rio Grande do Sul ,,,,,,,,,,,,,,
24,NOME DA CACHAÇA: Cachaça Umas e Outras ,"PREÇO: R$ 60,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Weber Haus Umas e Outras por Leandro Batista'],Volume: 1 Litro ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Nao há ,Tipo: Armazenada ,Produtor: Weber Haus ,Local de Produção: ivoti / RS ,,,,,,,,,,,,,,
25,NOME DA CACHAÇA: AGUARDENTE COMPOSTA COQUEIRO AZULADA,"PREÇO: R$ 54,00","['DESCRIÇÃO DA CACHAÇA: Aguardente Composto com Folha de tangerina A Cachaça Composta Coqueiro Azulada é uma cachaça composta de cachaça e folha de tangerina.', 'Ao descansar as folhas de tangerina em cachaça prata, o álcool libera propriedade da folha que tornam o líquido azul.', 'Mantendo assim todo o sabor da cana.', 'Paraty, RJ Apresentação garrafa de 500 ml']",Volume: 500ml ,Graduação Alcoólica: 45% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Não há ,Tipo: Aguardente Composta com Folha de tangerina ,Produtor: Cachaça Coqueiro ,Local de Produção: Paraty / Rio de Janeiro ,,,,,,,,,,,,,,
26,NOME DA CACHAÇA: Coqueiro Gabriela,"PREÇO: R$ 55,00",['DESCRIÇÃO DA CACHAÇA: Coqueiro Gabriela 500ml Cravo e Canela'],Volume: 500ml ,Graduação Alcoólica: 45% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Não Há ,Tipo: Aguardente Composta com Cravo e Canela ,Produtor: Coqueiro ,Local de Produção: Paraty / Rio de Janeiro ,,,,,,,,,,,,,,
27,NOME DA CACHAÇA: Cachaça Fabulosa,"PREÇO: R$ 169,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Fabulosa 700ml'],Volume: 700ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 6 anos Bálsamo ,Tipo: Envelhecida ,Produtor: Fabulosa ,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
28,NOME DA CACHAÇA: Cachaça Hanavilhana Ouro,"PREÇO: R$ 44,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Hanavilhana Umburana 670 ml - Produzido na região de Salinas - MG'],Volume: 700ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 2 anos Umburana ,Tipo: Ouro ,PRODUTOR: nan,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
29,NOME DA CACHAÇA: Cachaça Salicana Ouro,"PREÇO: R$ 48,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Salicana Ouro 670ml'],Volume: 670ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Bálsamo ,Tipo: Armazenada ,PRODUTOR: nan,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
30,NOME DA CACHAÇA: CACHAÇA SABOR DE MINAS LOUÇA,"PREÇO: R$ 85,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Sabor de Minas Louça 670ml'],Volume: 670ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Bálsamo ,Tipo: Envelhecida ,Produtor: Sabor de Minas ,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
31,NOME DA CACHAÇA: Cachaça Tábua Ouro,"PREÇO: R$ 59,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Tábua Ouro 670ml'],Volume: 670ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Amburana ,Tipo: Armazenada ,PRODUTOR: nan,Local de Produção: Taiobeiras / Minas Gerais ,,,,,,,,,,,,,,
32,NOME DA CACHAÇA: Cachaça Premissa Extra Premium,"PREÇO: R$ 45,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Premissa Extra Premium 670ml'],Volume: 670ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Bálsamo ,Tipo: Envelhecida ,PRODUTOR: nan,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
33,NOME DA CACHAÇA: Cachaça Peladinha,"PREÇO: R$ 59,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Peladinha 670ml'],Volume: 670ml ,GRADUAÇÃO ALCOÓLICA: nan,RECIPIENTE DE ARMAZENAMENTO: nan,Tipo: Armazenada ,PRODUTOR: nan,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
34,NOME DA CACHAÇA: Cachaça Clarinha de Minas da Taverna de Minas,"PREÇO: R$ 91,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Clarinha de Minas da Taverna de Minas 700ml'],Volume: 700ml ,Graduação Alcoólica: 39% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Jequitibá e Amburana ,Tipo: Blend ,Produtor: Taverna de Minas ,Local de Produção: Itaverava / MG ,,,,,,,,,,,,,,
35,NOME DA CACHAÇA: Cachaça Taverna de Minas Carvalho Garrafa Especial,"PREÇO: R$ 110,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Taverna de Minas Carvalho Garrafa Especial 700ml'],Volume: 700ml ,Graduação Alcoólica: 39% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 2 Anos Carvalho ,Tipo: Envelhecida ,Produtor: Taverna de Minas ,Local de Produção: Itaverava / MG ,,,,,,,,,,,,,,
36,NOME DA CACHAÇA: Cachaça Sabiá Ouro,"PREÇO: R$ 92,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Sabiá Ouro 700ml'],Volume: 700ml ,Graduação Alcoólica: 44% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Bálsamo ,Tipo: Ouro ,Produtor: Sabiá ,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
37,NOME DA CACHAÇA: Cipó da Serra Ouro,"PREÇO: R$ 95,00",['DESCRIÇÃO DA CACHAÇA: Cipó da Serra Ouro 700ml - Produzido em Itaverava - Minas Gerais'],Volume: 670ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: nan,Tipo: Ouro ,Produtor: Taverna de Minas ,Local de Produção: Itaverava / Minas Gerais ,,,,,,,,,,,,,,
38,NOME DA CACHAÇA: Cachaça Primeira de Minas,"PREÇO: R$ 37,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Primeira de Minas 750ml - Prata'],Volume: 750ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 1 ano ,"Tipo: Blend de Amburana, Amendoim e Carvalho ",Produtor: Destom ,Local de Produção: Farias Lemos / Minas Gerais ,,,,,,,,,,,,,,
39,NOME DA CACHAÇA: Cachaça 1000 Montes 3AOB,"PREÇO: R$ 65,00","['DESCRIÇÃO DA CACHAÇA: Um blend de três tostas diferentes de barris de carvalho americano (3 AOB – American Oak Barrel) que lhe proporciona coloração dourada alaranjada, com aromas e sabores equilibrados com notas de coco caramelizado, mel e baunilha e percepção do álcool suave trazendo sofisticação ao destilado.']",Volume: 500ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: ¨Carvalho Americano ,Tipo: Envelhecida 1 ano ,Produtor: Destom ,Local de Produção: Farias Lemos / Minas Gerais ,,,,,,,,,,,,,,
40,NOME DA CACHAÇA: Cachaça Brinco de Ouro,"PREÇO: R$ 62,00","['DESCRIÇÃO DA CACHAÇA: Armazenada por 3 anos em tonéis de bálsamo, adquire tonalidade de aroma característico da madeira.', 'Trata-se de uma das menores graduações alcoólicas das bebidas envelhecidas em bálsamo.', 'Aroma e sabor bastante equilibrados.', '- Armazenada por 03 anos em tonéis de Bálsamo - Graduação alcoólica: 40% vol.', '- Indicada para ser apreciada pura - Origem: Salinas (MG)']",Volume: 670ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Balsamo ,Tipo: Armazenada ,PRODUTOR: nan,Local de Produção: Salinas / Minas Gerais ,,,,,,,,,,,,,,
41,NOME DA CACHAÇA: Cachaça Rio do Engenho Top 45 - Balsamo,"PREÇO: R$ 72,00","['DESCRIÇÃO DA CACHAÇA: Linha Top 45 A Linha Top 45 foi desenvolvida para paladares mais exigentes.', 'Com grau alcoólico de 45%, veio para para satisfazer os amantes de uma Cachaça mais forte, que esquenta não só a boca, mas a alma e o coração!']",Volume: 750ml ,Graduação Alcoólica: 45% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Bálsamo ,Tipo: Envelhecida ,"Produtor: Rio do Engenho Indústria, Comércio, Importação e Exportação de Bebidas LTDA ","Local de Produção: Distrito de Japú, Ilheus / Bahia ",,,,,,,,,,,,,,
42,NOME DA CACHAÇA: Cachaça Rio do Engenho Top 45 - Prata,"PREÇO: R$ 60,00","['DESCRIÇÃO DA CACHAÇA: Linha Top 45 A Linha Top 45 foi desenvolvida para paladares mais exigentes.', 'Com grau alcoólico de 45%, veio para para satisfazer os amantes de uma Cachaça mais forte, que esquenta não só a boca, mas a alma e o coração!']",Volume: 750ml ,Graduação Alcoólica: 45% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Não há ,Tipo: Prata ,"Produtor: Rio do Engenho Indústria, Comércio, Importação e Exportação de Bebidas LTDA ",Local de Produção: Ilheus / Bahia ,,,,,,,,,,,,,,
43,NOME DA CACHAÇA: Cachaça Theodoro Carvalho Extra Premium,"PREÇO: R$ 37,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Theodoro Carvalho Extra Premium Envelhecida em barris de carvalho europeu.'],Volume: 670ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Carvalho Europeu ,TIPO: nan,Produtor: Fazenda Amábile ,Local de Produção: Serra Negra / São Paulo ,,,,,,,,,,,,,,
44,NOME DA CACHAÇA: Cachaça Theodoro Jequitiba,"PREÇO: R$ 35,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Theodoro Jequitiba Descansada 7 anos em tonéis de Jequitibá rosa.'],Volume: 670ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: nan,TIPO: nan,Produtor: Fazenda Amábile ,Local de Produção: Serra Negra / São Paulo ,,,,,,,,,,,,,,
45,NOME DA CACHAÇA: Cachaça Tiara Rainha com embalagem exclusiva,"PREÇO: R$ 91,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Tiara Rainha com embalagem exclusiva envelhecida por 3 anos em tonéis de Carvalho e Jequitibá'],Volume: 750ml ,Graduação Alcoólica: 42% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Carvalho e Jequitibá ,Tipo: Envelhecida ,Produtor: Fazenda Jurumirim ,Local de Produção: Barra Longa / Minas Gerais ,,,,,,,,,,,,,,
