,palavras,Arthur,Thiago,Priscilla
63,corpo,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
64,cravo,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
65,canela,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
66,baunilha,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
67,final,o,o,CARACTERISTICA_SENSORIAL_AROMA
68,de,o,o,CARACTERISTICA_SENSORIAL_AROMA
69,chocolate,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
70,baunilha,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
71,coco,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
72,mel,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
73,rapadura,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
74,corpo,o,o,CARACTERISTICA_SENSORIAL_SABOR
75,alcoólico,o,o,CARACTERISTICA_SENSORIAL_SABOR
76,mais,o,o,CARACTERISTICA_SENSORIAL_SABOR
77,acentuado,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,o,CARACTERISTICA_SENSORIAL_SABOR
78,Princesa,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
79,Isabel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
80,Leandro,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
81,Marelli,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
82,500ml,VOLUME,VOLUME,VOLUME
83,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
84,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
85,Jaqueira,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
86,Princesa,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
87,Isabel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
88,Linhares,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
89,Espírito,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
90,Santo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
91,Colombina,NOME_BEBIDA,CARACTERISTICA_SENSORIAL_AROMA,NOME_BEBIDA
92,Chita,NOME_BEBIDA,CARACTERISTICA_SENSORIAL_AROMA,NOME_BEBIDA
93,R$,PRECO,PRECO,PRECO
94,100,PRECO,PRECO,PRECO
95,",",PRECO,PRECO,PRECO
96,00,PRECO,PRECO,PRECO
97,Colombina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
98,Chita,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
99,700ml,VOLUME,VOLUME,VOLUME
100,700ml,VOLUME,VOLUME,VOLUME
101,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,PRECO
102,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
103,Jatobá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
104,RXM,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
105,Agropecuária,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
106,Alvinopolis,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
107,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
108,colombina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
109,3,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
110,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
111,R$,PRECO,PRECO,PRECO
112,52,PRECO,PRECO,PRECO
113,",",PRECO,PRECO,PRECO
114,00,PRECO,PRECO,PRECO
115,seculares,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
116,paróis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
117,Jatobá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
118,cana,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
119,madeira,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
120,1922,TEMPO,TEMPO,TEMPO
121,Hotel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
122,Sofitel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
123,Rio,NOME_ORGANIZACAO,NOME_LOCAL,NOME_LOCAL
124,de,NOME_ORGANIZACAO,NOME_LOCAL,NOME_LOCAL
125,Janeiro,NOME_ORGANIZACAO,NOME_LOCAL,NOME_LOCAL
126,2005,TEMPO,TEMPO,TEMPO
127,Expocachaça,o,NOME_ORGANIZACAO,o
128,São,o,NOME_LOCAL,NOME_LOCAL
129,Paulo,o,NOME_LOCAL,NOME_LOCAL
130,Mercado,o,NOME_ORGANIZACAO,o
131,Municipal,o,NOME_ORGANIZACAO,o
132,2011,TEMPO,TEMPO,TEMPO
133,700ml,VOLUME,VOLUME,VOLUME
134,41,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
135,",",GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
136,5%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
137,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
138,Paróis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
139,de,RECIPIENTE_ARMAZENAMENTO,o,o
140,Jatobá,RECIPIENTE_ARMAZENAMENTO,TIPO_MADEIRA,TIPO_MADEIRA
141,RXM,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
142,Agropecuaria,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
143,Alvinopolis,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
144,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
145,Colombina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
146,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
147,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
148,R$,PRECO,PRECO,PRECO
149,272,PRECO,PRECO,PRECO
150,",",PRECO,PRECO,PRECO
151,00,PRECO,PRECO,PRECO
152,Colombina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
153,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
154,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
155,700ml,VOLUME,VOLUME,VOLUME
156,colombina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
157,Série,CLASSIFICACAO_BEBIDA,o,o
158,Especial,CLASSIFICACAO_BEBIDA,o,o
159,10,TEMPO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
160,Anos,TEMPO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
161,seculares,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
162,paróis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
163,Jatobá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
164,puro,CARACTERISTICA_SENSORIAL_SABOR,o,o
165,cana,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
166,madeira,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
167,Hotel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
168,Sofitel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
169,Rio,NOME_ORGANIZACAO,NOME_LOCAL,NOME_LOCAL
170,de,NOME_ORGANIZACAO,NOME_LOCAL,NOME_LOCAL
171,Janeiro,NOME_ORGANIZACAO,NOME_LOCAL,NOME_LOCAL
172,2005,TEMPO,TEMPO,TEMPO
173,700ml,VOLUME,VOLUME,VOLUME
174,45%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
175,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
176,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
177,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
178,Jatobá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
179,RXM,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
180,Agropecuaria,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
181,Alvinopolis,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
182,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
183,Babuxca,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
184,Tangerina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
185,com,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
186,Pimenta,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
187,R$,PRECO,PRECO,PRECO
188,52,PRECO,PRECO,PRECO
189,",",PRECO,PRECO,PRECO
190,00,PRECO,PRECO,PRECO
191,Babuxca,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
192,Mel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
193,Tangerina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
194,e,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
195,Pimenta,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
196,Babuxca,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
197,de,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
198,Tangerina,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
199,especial,CARACTERISTICA_SENSORIAL_AROMA,o,o
200,óleo,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
201,da,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
202,casca,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
203,da,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
204,tangerina,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
205,toque,CARACTERISTICA_SENSORIAL_SABOR,o,o
206,leve,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
207,delicado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
208,não,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
209,picante,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
210,Babu,o,o,NOME_PESSOA
211,Babuxca,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_BEBIDA
212,700ml,VOLUME,VOLUME,VOLUME
213,18,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
214,",",GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
215,5%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
216,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
217,BABUXCA,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
218,Sorocaba,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
219,São,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
220,Paulo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
221,Babuxca,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
222,Frutas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
223,Vermelhas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
224,R$,PRECO,PRECO,PRECO
225,52,PRECO,PRECO,PRECO
226,",",PRECO,PRECO,PRECO
227,00,PRECO,PRECO,PRECO
228,doce,CARACTERISTICA_SENSORIAL_SABOR,o,CARACTERISTICA_SENSORIAL_SABOR
229,distinta,o,CARACTERISTICA_SENSORIAL_SABOR,o
230,Babuxca,o,NOME_BEBIDA,NOME_BEBIDA
231,tons,o,o,CARACTERISTICA_SENSORIAL_COR
232,de,o,o,CARACTERISTICA_SENSORIAL_COR
233,vermelho,o,o,CARACTERISTICA_SENSORIAL_COR
234,cor,o,CARACTERISTICA_SENSORIAL_COR,o
235,do,o,CARACTERISTICA_SENSORIAL_COR,o
236,morango,o,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
237,amora,o,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
238,Babuxca,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
239,Babu,o,o,NOME_PESSOA
240,Babuxca,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_BEBIDA
241,700ml,VOLUME,VOLUME,o
242,18,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
243,",",GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
244,5%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
245,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
246,BABUXCA,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
247,Sorocaba,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
248,SP,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
249,SERRA,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
250,MORENA,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
251,OURO,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
252,R$,PRECO,PRECO,PRECO
253,56,PRECO,PRECO,PRECO
254,",",PRECO,PRECO,PRECO
255,00,PRECO,PRECO,PRECO
256,Serra,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
257,Morena,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
258,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
259,670ml,VOLUME,VOLUME,VOLUME
260,670ml,VOLUME,VOLUME,VOLUME
261,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
262,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
263,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
264,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
265,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
266,Serra,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
267,Morena,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
268,Belo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
269,Vale,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
270,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
271,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
272,da,NOME_BEBIDA,o,o
273,Tulha,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
274,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
275,R$,PRECO,PRECO,PRECO
276,52,PRECO,PRECO,PRECO
277,",",PRECO,PRECO,PRECO
278,00,PRECO,PRECO,PRECO
279,da,NOME_BEBIDA,o,o
280,Tulha,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
281,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
282,750ml,VOLUME,VOLUME,VOLUME
283,750ml,VOLUME,VOLUME,VOLUME
284,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
285,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
286,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
287,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
288,Tulha,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_BEBIDA
289,Mococa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
290,São,NOME_LOCAL,NOME_LOCAL,o
291,Paulo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
292,GOGÓ,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
293,DA,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
294,EMA,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
295,SUBLIME,o,NOME_BEBIDA,NOME_BEBIDA
296,R$,PRECO,PRECO,PRECO
297,230,PRECO,PRECO,PRECO
298,",",PRECO,PRECO,PRECO
299,00,PRECO,PRECO,PRECO
300,GOGÓ,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
301,DA,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
302,EMA,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
303,SUBLIME,o,NOME_BEBIDA,NOME_BEBIDA
304,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
305,ANOS,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
306,BÁLSAMO,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
307,JEQUITIBÁ,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
308,750ml,VOLUME,VOLUME,PRECO
309,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,PRECO
310,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
311,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
312,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
313,Bálsamo,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
314,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
315,Gogó,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
316,da,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
317,Ema,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
318,São,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
319,Sebastião,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
320,Alagoas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
321,Maribondo,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
322,R$,PRECO,PRECO,PRECO
323,45,PRECO,PRECO,PRECO
324,",",PRECO,PRECO,PRECO
325,00,PRECO,PRECO,PRECO
