,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
135,Paulo,I-NOME_LOCAL,43,228,233,4,8,teste
136,(,O,43,233,234,4,8,teste
137,Mercado,O,43,234,241,4,8,teste
138,Municipal,O,43,242,251,4,8,teste
139,),O,43,251,252,4,8,teste
140,2011,B-TEMPO,43,253,257,4,8,teste
141,.,O,43,257,258,4,8,teste
142,Volume,O,44,0,6,4,8,teste
143,:,O,44,6,7,4,8,teste
144,700ml,B-VOLUME,44,8,13,4,8,teste
145,Graduação,O,45,0,9,4,8,teste
146,Alcoólica,O,45,10,19,4,8,teste
147,:,O,45,19,20,4,8,teste
148,41,B-GRADUACAO_ALCOOLICA,45,21,23,4,8,teste
149,",",I-GRADUACAO_ALCOOLICA,45,23,24,4,8,teste
150,5%,I-GRADUACAO_ALCOOLICA,45,24,26,4,8,teste
151,RECIPIENTE,O,46,0,10,4,8,teste
152,DE,O,46,11,13,4,8,teste
153,ARMAZENAMENTO,O,46,14,27,4,8,teste
154,:,O,46,27,28,4,8,teste
155,Tipo,O,46,29,33,4,8,teste
156,Barril,O,46,34,40,4,8,teste
157,:,O,46,40,41,4,8,teste
158,Paróis,B-RECIPIENTE_ARMAZENAMENTO,46,42,48,4,8,teste
159,de,O,46,49,51,4,8,teste
160,Jatobá,B-TIPO_MADEIRA,46,52,58,4,8,teste
161,Tipo,O,47,0,4,4,8,teste
162,:,O,47,4,5,4,8,teste
163,Armazenada,O,47,6,16,4,8,teste
164,Produtor,O,48,0,8,4,8,teste
165,:,O,48,8,9,4,8,teste
166,RXM,B-NOME_ORGANIZACAO,48,10,13,4,8,teste
167,Agropecuaria,I-NOME_ORGANIZACAO,48,14,26,4,8,teste
168,Local,O,49,0,5,4,8,teste
169,de,O,49,6,8,4,8,teste
170,Produção,O,49,9,17,4,8,teste
171,:,O,49,17,18,4,8,teste
172,Alvinopolis,B-NOME_LOCAL,49,19,30,4,8,teste
173,/,O,49,31,32,4,8,teste
174,MG,B-NOME_LOCAL,49,33,35,4,8,teste
175,NOME,O,285,0,4,29,8,teste
176,DA,O,285,5,7,29,8,teste
177,CACHAÇA,O,285,8,15,29,8,teste
178,:,O,285,15,16,29,8,teste
179,Cachaça,O,285,17,24,29,8,teste
180,Hanavilhana,B-NOME_BEBIDA,285,25,36,29,8,teste
181,Ouro,B-CLASSIFICACAO_BEBIDA,285,37,41,29,8,teste
182,PREÇO,O,286,0,5,29,8,teste
183,:,O,286,5,6,29,8,teste
184,R$,B-PRECO,286,7,9,29,8,teste
185,44,I-PRECO,286,10,12,29,8,teste
186,",",I-PRECO,286,12,13,29,8,teste
187,0,I-PRECO,286,13,15,29,8,teste
188,DESCRIÇÃO,O,287,0,9,29,8,teste
189,DA,O,287,10,12,29,8,teste
190,CACHAÇA,O,287,13,20,29,8,teste
191,:,O,287,20,21,29,8,teste
192,Cachaça,O,287,22,29,29,8,teste
193,Hanavilhana,B-NOME_BEBIDA,287,30,41,29,8,teste
194,Umburana,B-TIPO_MADEIRA,287,42,50,29,8,teste
195,670,B-VOLUME,287,51,54,29,8,teste
196,ml,I-VOLUME,287,55,57,29,8,teste
197,-,O,287,58,59,29,8,teste
198,Produzido,O,287,60,69,29,8,teste
199,na,O,287,70,72,29,8,teste
200,região,O,287,73,79,29,8,teste
201,de,O,287,80,82,29,8,teste
202,Salinas,B-NOME_LOCAL,287,83,90,29,8,teste
203,-,O,287,91,92,29,8,teste
204,MG,B-NOME_LOCAL,287,93,95,29,8,teste
205,Volume,O,288,0,6,29,8,teste
206,:,O,288,6,7,29,8,teste
207,700ml,B-VOLUME,288,8,13,29,8,teste
208,Graduação,O,289,0,9,29,8,teste
209,Alcoólica,O,289,10,19,29,8,teste
210,:,O,289,19,20,29,8,teste
211,42%,B-GRADUACAO_ALCOOLICA,289,21,24,29,8,teste
212,RECIPIENTE,O,290,0,10,29,8,teste
213,DE,O,290,11,13,29,8,teste
214,ARMAZENAMENTO,O,290,14,27,29,8,teste
215,:,O,290,27,28,29,8,teste
216,Tipo,O,290,29,33,29,8,teste
217,Barril,O,290,34,40,29,8,teste
218,:,O,290,40,41,29,8,teste
219,2,B-TEMPO_ARMAZENAMENTO,290,42,43,29,8,teste
220,anos,I-TEMPO_ARMAZENAMENTO,290,44,48,29,8,teste
221,Umburana,B-TIPO_MADEIRA,290,49,57,29,8,teste
222,Tipo,O,291,0,4,29,8,teste
223,:,O,291,4,5,29,8,teste
224,Ouro,B-CLASSIFICACAO_BEBIDA,291,6,10,29,8,teste
225,Local,O,292,0,5,29,8,teste
226,de,O,292,6,8,29,8,teste
227,Produção,O,292,9,17,29,8,teste
228,:,O,292,17,18,29,8,teste
229,Salinas,B-NOME_LOCAL,292,19,26,29,8,teste
230,/,O,292,27,28,29,8,teste
231,Minas,B-NOME_LOCAL,292,29,34,29,8,teste
232,Gerais,I-NOME_LOCAL,292,35,41,29,8,teste
233,NOME,O,318,0,4,33,8,teste
234,DA,O,318,5,7,33,8,teste
235,CACHAÇA,O,318,8,15,33,8,teste
236,:,O,318,15,16,33,8,teste
237,Cachaça,O,318,17,24,33,8,teste
238,Premissa,B-NOME_BEBIDA,318,25,33,33,8,teste
239,Extra,B-CLASSIFICACAO_BEBIDA,318,34,39,33,8,teste
240,Premium,I-CLASSIFICACAO_BEBIDA,318,40,47,33,8,teste
241,PREÇO,O,319,0,5,33,8,teste
242,:,O,319,5,6,33,8,teste
243,R$,B-PRECO,319,7,9,33,8,teste
244,45,I-PRECO,319,10,12,33,8,teste
245,",",I-PRECO,319,12,13,33,8,teste
246,0,I-PRECO,319,13,15,33,8,teste
247,DESCRIÇÃO,O,320,0,9,33,8,teste
248,DA,O,320,10,12,33,8,teste
249,CACHAÇA,O,320,13,20,33,8,teste
250,:,O,320,20,21,33,8,teste
251,Cachaça,O,320,22,29,33,8,teste
252,Premissa,B-NOME_BEBIDA,320,30,38,33,8,teste
253,Extra,B-CLASSIFICACAO_BEBIDA,320,39,44,33,8,teste
254,Premium,I-CLASSIFICACAO_BEBIDA,320,45,52,33,8,teste
255,670ml,B-VOLUME,320,53,58,33,8,teste
256,Volume,O,321,0,6,33,8,teste
257,:,O,321,6,7,33,8,teste
258,670ml,B-VOLUME,321,8,13,33,8,teste
259,Graduação,O,322,0,9,33,8,teste
260,Alcoólica,O,322,10,19,33,8,teste
261,:,O,322,19,20,33,8,teste
262,42%,B-GRADUACAO_ALCOOLICA,322,21,24,33,8,teste
263,RECIPIENTE,O,323,0,10,33,8,teste
264,DE,O,323,11,13,33,8,teste
265,ARMAZENAMENTO,O,323,14,27,33,8,teste
266,:,O,323,27,28,33,8,teste
267,Tipo,O,323,29,33,33,8,teste
268,Barril,O,323,34,40,33,8,teste
269,:,O,323,40,41,33,8,teste
270,Bálsamo,B-TIPO_MADEIRA,323,42,49,33,8,teste
271,Tipo,O,324,0,4,33,8,teste
272,:,O,324,4,5,33,8,teste
273,Envelhecida,O,324,6,17,33,8,teste
274,Local,O,325,0,5,33,8,teste
275,de,O,325,6,8,33,8,teste
276,Produção,O,325,9,17,33,8,teste
277,:,O,325,17,18,33,8,teste
278,Salinas,B-NOME_LOCAL,325,19,26,33,8,teste
279,/,O,325,27,28,33,8,teste
280,Minas,B-NOME_LOCAL,325,29,34,33,8,teste
281,Gerais,I-NOME_LOCAL,325,35,41,33,8,teste
282,NOME,O,332,0,4,35,8,teste
283,DA,O,332,5,7,35,8,teste
284,CACHAÇA,O,332,8,15,35,8,teste
285,:,O,332,15,16,35,8,teste
286,Cachaça,O,332,17,24,35,8,teste
287,Clarinha,B-NOME_BEBIDA,332,25,33,35,8,teste
288,de,I-NOME_BEBIDA,332,34,36,35,8,teste
289,Minas,I-NOME_BEBIDA,332,37,42,35,8,teste
290,da,O,332,43,45,35,8,teste
291,Taverna,B-NOME_ORGANIZACAO,332,46,53,35,8,teste
292,de,I-NOME_ORGANIZACAO,332,54,56,35,8,teste
293,Minas,I-NOME_ORGANIZACAO,332,57,62,35,8,teste
294,PREÇO,O,333,0,5,35,8,teste
295,:,O,333,5,6,35,8,teste
296,R$,B-PRECO,333,7,9,35,8,teste
297,91,I-PRECO,333,10,12,35,8,teste
298,",",I-PRECO,333,12,13,35,8,teste
299,0,I-PRECO,333,13,15,35,8,teste
300,DESCRIÇÃO,O,334,0,9,35,8,teste
301,DA,O,334,10,12,35,8,teste
302,CACHAÇA,O,334,13,20,35,8,teste
303,:,O,334,20,21,35,8,teste
304,Cachaça,O,334,22,29,35,8,teste
305,Clarinha,B-NOME_BEBIDA,334,30,38,35,8,teste
306,de,I-NOME_BEBIDA,334,39,41,35,8,teste
307,Minas,I-NOME_BEBIDA,334,42,47,35,8,teste
308,da,O,334,48,50,35,8,teste
309,Taverna,B-NOME_ORGANIZACAO,334,51,58,35,8,teste
310,de,I-NOME_ORGANIZACAO,334,59,61,35,8,teste
311,Minas,I-NOME_ORGANIZACAO,334,62,67,35,8,teste
312,700ml,B-VOLUME,334,68,73,35,8,teste
313,Volume,O,335,0,6,35,8,teste
314,:,O,335,6,7,35,8,teste
315,700ml,B-VOLUME,335,8,13,35,8,teste
316,Graduação,O,336,0,9,35,8,teste
317,Alcoólica,O,336,10,19,35,8,teste
318,:,O,336,19,20,35,8,teste
319,39%,B-GRADUACAO_ALCOOLICA,336,21,24,35,8,teste
320,RECIPIENTE,O,337,0,10,35,8,teste
321,DE,O,337,11,13,35,8,teste
322,ARMAZENAMENTO,O,337,14,27,35,8,teste
323,:,O,337,27,28,35,8,teste
324,Tipo,O,337,29,33,35,8,teste
325,Barril,O,337,34,40,35,8,teste
326,:,O,337,40,41,35,8,teste
327,Jequitibá,B-TIPO_MADEIRA,337,42,51,35,8,teste
328,e,O,337,52,53,35,8,teste
329,Amburana,B-TIPO_MADEIRA,337,54,62,35,8,teste
330,Tipo,O,338,0,4,35,8,teste
331,:,O,338,4,5,35,8,teste
332,Blend,B-CLASSIFICACAO_BEBIDA,338,6,11,35,8,teste
333,Produtor,O,339,0,8,35,8,teste
334,:,O,339,8,9,35,8,teste
335,Taverna,B-NOME_ORGANIZACAO,339,10,17,35,8,teste
336,de,I-NOME_ORGANIZACAO,339,18,20,35,8,teste
337,Minas,I-NOME_ORGANIZACAO,339,21,26,35,8,teste
338,Local,O,340,0,5,35,8,teste
339,de,O,340,6,8,35,8,teste
340,Produção,O,340,9,17,35,8,teste
341,:,O,340,17,18,35,8,teste
342,Itaverava,B-NOME_LOCAL,340,19,28,35,8,teste
343,/,O,340,29,30,35,8,teste
344,MG,B-NOME_LOCAL,340,31,33,35,8,teste
345,NOME,O,633,0,4,65,8,teste
346,DA,O,633,5,7,65,8,teste
347,CACHAÇA,O,633,8,15,65,8,teste
348,:,O,633,15,16,65,8,teste
349,Cachaça,O,633,17,24,65,8,teste
350,Bem,B-NOME_BEBIDA,633,25,28,65,8,teste
351,Me,I-NOME_BEBIDA,633,29,31,65,8,teste
352,Quer,I-NOME_BEBIDA,633,32,36,65,8,teste
353,Amburana,B-TIPO_MADEIRA,633,37,45,65,8,teste
354,PREÇO,O,634,0,5,65,8,teste
355,:,O,634,5,6,65,8,teste
356,R$,B-PRECO,634,7,9,65,8,teste
357,30,I-PRECO,634,10,12,65,8,teste
358,",",I-PRECO,634,12,13,65,8,teste
359,0,I-PRECO,634,13,15,65,8,teste
360,DESCRIÇÃO,O,635,0,9,65,8,teste
361,DA,O,635,10,12,65,8,teste
362,CACHAÇA,O,635,13,20,65,8,teste
363,:,O,635,20,21,65,8,teste
364,Cachaça,O,635,22,29,65,8,teste
365,envelhecida,O,635,30,41,65,8,teste
366,em,O,635,42,44,65,8,teste
367,tonéis,B-RECIPIENTE_ARMAZENAMENTO,635,45,51,65,8,teste
368,de,O,635,52,54,65,8,teste
369,Amburana,B-TIPO_MADEIRA,635,55,63,65,8,teste
370,por,O,635,64,67,65,8,teste
371,18,B-TEMPO_ARMAZENAMENTO,635,68,70,65,8,teste
372,meses,I-TEMPO_ARMAZENAMENTO,635,71,76,65,8,teste
373,.,O,635,76,77,65,8,teste
374,A,O,636,0,1,65,8,teste
375,madeira,O,636,2,9,65,8,teste
376,brasileira,O,636,10,20,65,8,teste
377,de,O,636,21,23,65,8,teste
378,sabor,O,636,24,29,65,8,teste
379,frutado,B-CARACTERISTICA_SENSORIAL_SABOR,636,30,37,65,8,teste
380,e,O,636,38,39,65,8,teste
381,aroma,O,636,40,45,65,8,teste
382,inigualáveis,B-CARACTERISTICA_SENSORIAL_AROMA,636,46,58,65,8,teste
383,.,O,636,58,59,65,8,teste
384,São,O,637,0,3,65,8,teste
385,ideais,O,637,4,10,65,8,teste
386,para,O,637,11,15,65,8,teste
387,acompanhar,O,637,16,26,65,8,teste
388,sobremesas,O,637,27,37,65,8,teste
389,.,O,637,37,38,65,8,teste
390,Autenticamente,O,638,0,14,65,8,teste
391,mineira,O,638,15,22,65,8,teste
392,",",O,638,22,23,65,8,teste
393,produzida,O,638,24,33,65,8,teste
394,em,O,638,34,36,65,8,teste
395,Pitangui,B-NOME_LOCAL,638,37,45,65,8,teste
396,.,O,638,45,46,65,8,teste
397,Médio,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,639,0,5,65,8,teste
398,corpo,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,639,6,11,65,8,teste
399,",",O,639,11,12,65,8,teste
400,macio,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,639,13,18,65,8,teste
401,",",O,639,18,19,65,8,teste
402,excelente,B-CARACTERISTICA_SENSORIAL_SABOR,639,20,29,65,8,teste
403,acidez,I-CARACTERISTICA_SENSORIAL_SABOR,639,30,36,65,8,teste
404,",",O,639,36,37,65,8,teste
405,equilibrado,O,639,38,49,65,8,teste
406,.,O,639,49,50,65,8,teste
407,Ao,O,640,0,2,65,8,teste
408,palato,O,640,3,9,65,8,teste
409,confirma,O,640,10,18,65,8,teste
410,o,O,640,19,20,65,8,teste
411,autêntico,O,640,21,30,65,8,teste
412,sabor,O,640,31,36,65,8,teste
413,frutado,B-CARACTERISTICA_SENSORIAL_SABOR,640,37,44,65,8,teste
414,amadeirado,I-CARACTERISTICA_SENSORIAL_SABOR,640,45,55,65,8,teste
415,.,O,640,55,56,65,8,teste
416,Volume,O,641,0,6,65,8,teste
417,:,O,641,6,7,65,8,teste
418,600ml,B-VOLUME,641,8,13,65,8,teste
419,Grad,O,641,14,18,65,8,teste
420,.,O,641,18,19,65,8,teste
421,Alc,O,641,20,23,65,8,teste
422,.,O,641,23,24,65,8,teste
423,:,O,641,24,25,65,8,teste
424,40%,B-GRADUACAO_ALCOOLICA,641,26,29,65,8,teste
425,Vol,O,641,30,33,65,8,teste
426,.,O,641,33,34,65,8,teste
427,Medalha,O,642,0,7,65,8,teste
428,:,O,642,7,8,65,8,teste
429,Bronze,O,642,9,15,65,8,teste
430,na,O,642,16,18,65,8,teste
431,ExpoCachaça,B-NOME_ORGANIZACAO,642,19,30,65,8,teste
432,2016,B-TEMPO,642,31,35,65,8,teste
433,Volume,O,643,0,6,65,8,teste
434,:,O,643,6,7,65,8,teste
435,600ml,B-VOLUME,643,8,13,65,8,teste
436,Graduação,O,644,0,9,65,8,teste
437,Alcoólica,O,644,10,19,65,8,teste
438,:,O,644,19,20,65,8,teste
439,40%,B-GRADUACAO_ALCOOLICA,644,21,24,65,8,teste
440,RECIPIENTE,O,645,0,10,65,8,teste
441,DE,O,645,11,13,65,8,teste
442,ARMAZENAMENTO,O,645,14,27,65,8,teste
443,:,O,645,27,28,65,8,teste
444,Tipo,O,645,29,33,65,8,teste
445,Barril,O,645,34,40,65,8,teste
446,:,O,645,40,41,65,8,teste
447,Amburana,B-TIPO_MADEIRA,645,42,50,65,8,teste
448,Local,O,646,0,5,65,8,teste
449,de,O,646,6,8,65,8,teste
450,Produção,O,646,9,17,65,8,teste
451,:,O,646,17,18,65,8,teste
452,Pitangui,B-NOME_LOCAL,646,19,27,65,8,teste
453,/,O,646,28,29,65,8,teste
454,Minas,B-NOME_LOCAL,646,30,35,65,8,teste
455,Gerais,I-NOME_LOCAL,646,36,42,65,8,teste
456,NOME,O,653,0,4,67,8,teste
457,DA,O,653,5,7,67,8,teste
458,CACHAÇA,O,653,8,15,67,8,teste
459,:,O,653,15,16,67,8,teste
460,Cachaça,B-NOME_BEBIDA,653,17,24,67,8,teste
461,de,I-NOME_BEBIDA,653,25,27,67,8,teste
462,Rolha,I-NOME_BEBIDA,653,28,33,67,8,teste
463,PREÇO,O,654,0,5,67,8,teste
464,:,O,654,5,6,67,8,teste
465,R$,B-PRECO,654,7,9,67,8,teste
466,32,I-PRECO,654,10,12,67,8,teste
467,",",I-PRECO,654,12,13,67,8,teste
468,0,I-PRECO,654,13,15,67,8,teste
469,DESCRIÇÃO,O,655,0,9,67,8,teste
470,DA,O,655,10,12,67,8,teste
471,CACHAÇA,O,655,13,20,67,8,teste
472,:,O,655,20,21,67,8,teste
473,Cachaça,B-NOME_BEBIDA,655,22,29,67,8,teste
474,de,I-NOME_BEBIDA,655,30,32,67,8,teste
475,Rolha,I-NOME_BEBIDA,655,33,38,67,8,teste
476,armazenada,O,655,39,49,67,8,teste
477,em,O,655,50,52,67,8,teste
478,inox,B-RECIPIENTE_ARMAZENAMENTO,655,53,57,67,8,teste
479,Volume,O,656,0,6,67,8,teste
480,:,O,656,6,7,67,8,teste
481,700ml,B-VOLUME,656,8,13,67,8,teste
482,Graduação,O,657,0,9,67,8,teste
483,Alcoólica,O,657,10,19,67,8,teste
484,:,O,657,19,20,67,8,teste
485,41%,B-GRADUACAO_ALCOOLICA,657,21,24,67,8,teste
486,Local,O,658,0,5,67,8,teste
487,de,O,658,6,8,67,8,teste
488,Produção,O,658,9,17,67,8,teste
489,:,O,658,17,18,67,8,teste
490,São,B-NOME_LOCAL,658,19,22,67,8,teste
491,Gonçalo,I-NOME_LOCAL,658,23,30,67,8,teste
492,do,I-NOME_LOCAL,658,31,33,67,8,teste
493,Amarante,I-NOME_LOCAL,658,34,42,67,8,teste
494,/,O,658,43,44,67,8,teste
495,Ceará,B-NOME_LOCAL,658,45,50,67,8,teste
496,NOME,O,754,0,4,77,8,teste
497,DA,O,754,5,7,77,8,teste
498,CACHAÇA,O,754,8,15,77,8,teste
499,:,O,754,15,16,77,8,teste
500,Cachaça,O,754,17,24,77,8,teste
501,Cabaré,B-NOME_BEBIDA,754,25,31,77,8,teste
502,Ouro,B-CLASSIFICACAO_BEBIDA,754,32,36,77,8,teste
503,700ml,B-VOLUME,754,37,42,77,8,teste
504,PREÇO,O,755,0,5,77,8,teste
505,:,O,755,5,6,77,8,teste
506,R$,B-PRECO,755,7,9,77,8,teste
507,45,I-PRECO,755,10,12,77,8,teste
508,",",I-PRECO,755,12,13,77,8,teste
509,90,I-PRECO,755,13,15,77,8,teste
510,DESCRIÇÃO,O,756,0,9,77,8,teste
511,DA,O,756,10,12,77,8,teste
512,CACHAÇA,O,756,13,20,77,8,teste
513,:,O,756,20,21,77,8,teste
514,A,O,756,22,23,77,8,teste
515,Cachaça,O,756,24,31,77,8,teste
516,Cabé,B-NOME_BEBIDA,756,32,36,77,8,teste
517,Ouro,B-CLASSIFICACAO_BEBIDA,756,37,41,77,8,teste
518,é,O,756,42,43,77,8,teste
519,envelhecida,O,756,44,55,77,8,teste
520,por,O,756,56,59,77,8,teste
521,6,B-TEMPO_ARMAZENAMENTO,756,60,61,77,8,teste
522,meses,I-TEMPO_ARMAZENAMENTO,756,62,67,77,8,teste
523,em,O,756,68,70,77,8,teste
524,tonéis,B-RECIPIENTE_ARMAZENAMENTO,756,71,77,77,8,teste
525,de,O,756,78,80,77,8,teste
526,carvalho,B-TIPO_MADEIRA,756,81,89,77,8,teste
527,europeu,I-TIPO_MADEIRA,756,90,97,77,8,teste
528,",",O,756,97,98,77,8,teste
529,possui,O,756,99,105,77,8,teste
530,um,O,756,106,108,77,8,teste
531,sabor,O,756,109,114,77,8,teste
532,suave,B-CARACTERISTICA_SENSORIAL_SABOR,756,115,120,77,8,teste
533,e,O,756,121,122,77,8,teste
534,macio,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,756,123,128,77,8,teste
535,.,O,756,128,129,77,8,teste
536,OrigemMirassol,O,757,0,14,77,8,teste
537,/,O,757,14,15,77,8,teste
538,SP,B-NOME_LOCAL,757,15,17,77,8,teste
539,Volume700ml,O,757,18,29,77,8,teste
540,Teor,O,757,30,34,77,8,teste
541,Alcoólico38,O,757,35,46,77,8,teste
542,.,O,757,46,47,77,8,teste
543,0%,O,757,47,49,77,8,teste
544,MadeiraCarvalho,O,757,50,65,77,8,teste
545,VOLUME,O,758,0,6,77,8,teste
546,:,O,758,6,7,77,8,teste
547,700ml,B-VOLUME,758,8,13,77,8,teste
548,GRADUAÇÃO,O,759,0,9,77,8,teste
549,ALCOÓLICA,O,759,10,19,77,8,teste
550,:,O,759,19,20,77,8,teste
551,38,B-GRADUACAO_ALCOOLICA,759,21,23,77,8,teste
552,.,I-GRADUACAO_ALCOOLICA,759,23,24,77,8,teste
