,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao
187,:,O,343,20,21,36,4
188,Cachaça,O,343,22,29,36,4
189,Taverna,B-NOME_BEBIDA,343,30,37,36,4
190,de,I-NOME_BEBIDA,343,38,40,36,4
191,Minas,I-NOME_BEBIDA,343,41,46,36,4
192,Carvalho,B-TIPO_MADEIRA,343,47,55,36,4
193,Garrafa,O,343,56,63,36,4
194,Especial,O,343,64,72,36,4
195,700ml,B-VOLUME,343,73,78,36,4
196,Volume,O,344,0,6,36,4
197,:,O,344,6,7,36,4
198,700ml,B-VOLUME,344,8,13,36,4
199,Graduação,O,345,0,9,36,4
200,Alcoólica,O,345,10,19,36,4
201,:,O,345,19,20,36,4
202,39%,B-GRADUACAO_ALCOOLICA,345,21,24,36,4
203,RECIPIENTE,O,346,0,10,36,4
204,DE,O,346,11,13,36,4
205,ARMAZENAMENTO,O,346,14,27,36,4
206,:,O,346,27,28,36,4
207,Tipo,O,346,29,33,36,4
208,Barril,O,346,34,40,36,4
209,:,O,346,40,41,36,4
210,2,B-TEMPO_ARMAZENAMENTO,346,42,43,36,4
211,Anos,I-TEMPO_ARMAZENAMENTO,346,44,48,36,4
212,Carvalho,B-TIPO_MADEIRA,346,49,57,36,4
213,Tipo,O,347,0,4,36,4
214,:,O,347,4,5,36,4
215,Envelhecida,O,347,6,17,36,4
216,Produtor,O,348,0,8,36,4
217,:,O,348,8,9,36,4
218,Taverna,B-NOME_ORGANIZACAO,348,10,17,36,4
219,de,I-NOME_ORGANIZACAO,348,18,20,36,4
220,Minas,I-NOME_ORGANIZACAO,348,21,26,36,4
221,Local,O,349,0,5,36,4
222,de,O,349,6,8,36,4
223,Produção,O,349,9,17,36,4
224,:,O,349,17,18,36,4
225,Itaverava,B-NOME_LOCAL,349,19,28,36,4
226,/,O,349,29,30,36,4
227,MG,B-NOME_LOCAL,349,31,33,36,4
228,NOME,O,407,0,4,43,4
229,DA,O,407,5,7,43,4
230,CACHAÇA,O,407,8,15,43,4
231,:,O,407,15,16,43,4
232,Cachaça,O,407,17,24,43,4
233,Rio,B-NOME_BEBIDA,407,25,28,43,4
234,do,I-NOME_BEBIDA,407,29,31,43,4
235,Engenho,I-NOME_BEBIDA,407,32,39,43,4
236,Top,I-NOME_BEBIDA,407,40,43,43,4
237,45,I-NOME_BEBIDA,407,44,46,43,4
238,-,O,407,47,48,43,4
239,Prata,B-CLASSIFICACAO_BEBIDA,407,49,54,43,4
240,PREÇO,O,408,0,5,43,4
241,:,O,408,5,6,43,4
242,R$,B-PRECO,408,7,9,43,4
243,60,I-PRECO,408,10,12,43,4
244,",",I-PRECO,408,12,13,43,4
245,0,I-PRECO,408,13,15,43,4
246,DESCRIÇÃO,O,409,0,9,43,4
247,DA,O,409,10,12,43,4
248,CACHAÇA,O,409,13,20,43,4
249,:,O,409,20,21,43,4
250,Linha,O,409,22,27,43,4
251,Top,B-NOME_BEBIDA,409,28,31,43,4
252,45,I-NOME_BEBIDA,409,32,34,43,4
253,A,O,409,35,36,43,4
254,Linha,O,409,37,42,43,4
255,Top,B-NOME_BEBIDA,409,43,46,43,4
256,45,I-NOME_BEBIDA,409,47,49,43,4
257,foi,O,409,50,53,43,4
258,desenvolvida,O,409,54,66,43,4
259,para,O,409,67,71,43,4
260,paladares,O,409,72,81,43,4
261,mais,O,409,82,86,43,4
262,exigentes,O,409,87,96,43,4
263,.,O,409,96,97,43,4
264,Com,O,410,0,3,43,4
265,grau,O,410,4,8,43,4
266,alcoólico,O,410,9,18,43,4
267,de,O,410,19,21,43,4
268,45%,B-GRADUACAO_ALCOOLICA,410,22,25,43,4
269,",",O,410,25,26,43,4
270,veio,O,410,27,31,43,4
271,para,O,410,32,36,43,4
272,para,O,410,37,41,43,4
273,satisfazer,O,410,42,52,43,4
274,os,O,410,53,55,43,4
275,amantes,O,410,56,63,43,4
276,de,O,410,64,66,43,4
277,uma,O,410,67,70,43,4
278,Cachaça,O,410,71,78,43,4
279,mais,O,410,79,83,43,4
280,forte,O,410,84,89,43,4
281,",",O,410,89,90,43,4
282,que,O,410,91,94,43,4
283,esquenta,O,410,95,103,43,4
284,não,O,410,104,107,43,4
285,só,O,410,108,110,43,4
286,a,O,410,111,112,43,4
287,boca,O,410,113,117,43,4
288,",",O,410,117,118,43,4
289,mas,O,410,119,122,43,4
290,a,O,410,123,124,43,4
291,alma,O,410,125,129,43,4
292,e,O,410,130,131,43,4
293,o,O,410,132,133,43,4
294,coração,O,410,134,141,43,4
295,!,O,410,141,142,43,4
296,Volume,O,411,0,6,43,4
297,:,O,411,6,7,43,4
298,750ml,B-VOLUME,411,8,13,43,4
299,Graduação,O,412,0,9,43,4
300,Alcoólica,O,412,10,19,43,4
301,:,O,412,19,20,43,4
302,45%,B-GRADUACAO_ALCOOLICA,412,21,24,43,4
303,RECIPIENTE,O,413,0,10,43,4
304,DE,O,413,11,13,43,4
305,ARMAZENAMENTO,O,413,14,27,43,4
306,:,O,413,27,28,43,4
307,Tipo,O,413,29,33,43,4
308,Barril,O,413,34,40,43,4
309,:,O,413,40,41,43,4
310,Não,O,413,42,45,43,4
311,há,O,413,46,48,43,4
312,Tipo,O,414,0,4,43,4
313,:,O,414,4,5,43,4
314,Prata,B-CLASSIFICACAO_BEBIDA,414,6,11,43,4
315,Produtor,O,415,0,8,43,4
316,:,O,415,8,9,43,4
317,Rio,B-NOME_ORGANIZACAO,415,10,13,43,4
318,do,I-NOME_ORGANIZACAO,415,14,16,43,4
319,Engenho,I-NOME_ORGANIZACAO,415,17,24,43,4
320,Indústria,I-NOME_ORGANIZACAO,415,25,34,43,4
321,",",I-NOME_ORGANIZACAO,415,34,35,43,4
322,Comércio,I-NOME_ORGANIZACAO,415,36,44,43,4
323,",",I-NOME_ORGANIZACAO,415,44,45,43,4
324,Importação,I-NOME_ORGANIZACAO,415,46,56,43,4
325,e,I-NOME_ORGANIZACAO,415,57,58,43,4
326,Exportação,I-NOME_ORGANIZACAO,415,59,69,43,4
327,de,I-NOME_ORGANIZACAO,415,70,72,43,4
328,Bebidas,I-NOME_ORGANIZACAO,415,73,80,43,4
329,LTDA,I-NOME_ORGANIZACAO,415,81,85,43,4
330,Local,O,416,0,5,43,4
331,de,O,416,6,8,43,4
332,Produção,O,416,9,17,43,4
333,:,O,416,17,18,43,4
334,Ilheus,B-NOME_LOCAL,416,19,25,43,4
335,/,O,416,26,27,43,4
336,Bahia,B-NOME_LOCAL,416,28,33,43,4
337,NOME,O,476,0,4,50,4
338,DA,O,476,5,7,50,4
339,CACHAÇA,O,476,8,15,50,4
340,:,O,476,15,16,50,4
341,Cachaça,O,476,17,24,50,4
342,Wiba,B-NOME_BEBIDA,476,25,29,50,4
343,Amburana,B-TIPO_MADEIRA,476,30,38,50,4
344,PREÇO,O,477,0,5,50,4
345,:,O,477,5,6,50,4
346,R$,B-PRECO,477,7,9,50,4
347,60,I-PRECO,477,10,12,50,4
348,",",I-PRECO,477,12,13,50,4
349,0,I-PRECO,477,13,15,50,4
350,DESCRIÇÃO,O,478,0,9,50,4
351,DA,O,478,10,12,50,4
352,CACHAÇA,O,478,13,20,50,4
353,:,O,478,20,21,50,4
354,Cachaça,O,478,22,29,50,4
355,Wiba,B-NOME_BEBIDA,478,30,34,50,4
356,Amburana,B-TIPO_MADEIRA,478,35,43,50,4
357,envelhecida,O,478,44,55,50,4
358,Toneis,B-RECIPIENTE_ARMAZENAMENTO,478,56,62,50,4
359,de,O,478,63,65,50,4
360,Amburana,B-TIPO_MADEIRA,478,66,74,50,4
361,Volume,O,479,0,6,50,4
362,:,O,479,6,7,50,4
363,670ml,B-VOLUME,479,8,13,50,4
364,Graduação,O,480,0,9,50,4
365,Alcoólica,O,480,10,19,50,4
366,:,O,480,19,20,50,4
367,38%,B-GRADUACAO_ALCOOLICA,480,21,24,50,4
368,RECIPIENTE,O,481,0,10,50,4
369,DE,O,481,11,13,50,4
370,ARMAZENAMENTO,O,481,14,27,50,4
371,:,O,481,27,28,50,4
372,Tipo,O,481,29,33,50,4
373,Barril,O,481,34,40,50,4
374,:,O,481,40,41,50,4
375,Amburana,B-TIPO_MADEIRA,481,42,50,50,4
376,Tipo,O,482,0,4,50,4
377,:,O,482,4,5,50,4
378,Envelhecida,O,482,6,17,50,4
379,Produtor,O,483,0,8,50,4
380,:,O,483,8,9,50,4
381,Alambique,B-NOME_ORGANIZACAO,483,10,19,50,4
382,Ouro,I-NOME_ORGANIZACAO,483,20,24,50,4
383,Fino,I-NOME_ORGANIZACAO,483,25,29,50,4
384,Local,O,484,0,5,50,4
385,de,O,484,6,8,50,4
386,Produção,O,484,9,17,50,4
387,:,O,484,17,18,50,4
388,Torre,B-NOME_LOCAL,484,19,24,50,4
389,de,I-NOME_LOCAL,484,25,27,50,4
390,Pedra,I-NOME_LOCAL,484,28,33,50,4
391,/,O,484,34,35,50,4
392,São,B-NOME_LOCAL,484,36,39,50,4
393,Paulo,I-NOME_LOCAL,484,40,45,50,4
394,NOME,O,620,0,4,64,4
395,DA,O,620,5,7,64,4
396,CACHAÇA,O,620,8,15,64,4
397,:,O,620,15,16,64,4
398,Sanhaçu,B-NOME_BEBIDA,620,17,24,64,4
399,Freijó,B-TIPO_MADEIRA,620,25,31,64,4
400,PREÇO,O,621,0,5,64,4
401,:,O,621,5,6,64,4
402,R$,B-PRECO,621,7,9,64,4
403,90,I-PRECO,621,10,12,64,4
404,",",I-PRECO,621,12,13,64,4
405,0,I-PRECO,621,13,15,64,4
406,DESCRIÇÃO,O,622,0,9,64,4
407,DA,O,622,10,12,64,4
408,CACHAÇA,O,622,13,20,64,4
409,:,O,622,20,21,64,4
410,A,O,622,22,23,64,4
411,destilação,O,622,24,34,64,4
412,da,O,622,35,37,64,4
413,cachaça,O,622,38,45,64,4
414,Sanhaçu,B-NOME_BEBIDA,622,46,53,64,4
415,ocorre,O,622,54,60,64,4
416,em,O,622,61,63,64,4
417,alambiques,B-EQUIPAMENTO_DESTILACAO,622,64,74,64,4
418,de,I-EQUIPAMENTO_DESTILACAO,622,75,77,64,4
419,cobre,I-EQUIPAMENTO_DESTILACAO,622,78,83,64,4
420,",",O,622,83,84,64,4
421,o,O,622,85,86,64,4
422,que,O,622,87,90,64,4
423,propicia,O,622,91,99,64,4
424,características,O,622,100,115,64,4
425,especiais,O,622,116,125,64,4
426,de,O,622,126,128,64,4
427,aroma,O,622,129,134,64,4
428,e,O,622,135,136,64,4
429,sabor,O,622,137,142,64,4
430,.,O,622,142,143,64,4
431,O,O,623,0,1,64,4
432,armazenamento,O,623,2,15,64,4
433,acontece,O,623,16,24,64,4
434,por,O,623,25,28,64,4
435,um,O,623,29,31,64,4
436,período,O,623,32,39,64,4
437,mínimo,O,623,40,46,64,4
438,de,O,623,47,49,64,4
439,dois,B-TEMPO_ARMAZENAMENTO,623,50,54,64,4
440,anos,I-TEMPO_ARMAZENAMENTO,623,55,59,64,4
441,em,O,623,60,62,64,4
442,três,O,623,63,67,64,4
443,tipos,O,623,68,73,64,4
444,diferentes,O,623,74,84,64,4
445,de,O,623,85,87,64,4
446,madeira,O,623,88,95,64,4
447,.,O,623,95,96,64,4
448,Freijó,B-TIPO_MADEIRA,624,0,6,64,4
449,é,O,624,7,8,64,4
450,uma,O,624,9,12,64,4
451,madeira,O,624,13,20,64,4
452,da,O,624,21,23,64,4
453,Amazônia,B-NOME_LOCAL,624,24,32,64,4
454,que,O,624,33,36,64,4
455,junto,O,624,37,42,64,4
456,à,O,624,43,44,64,4
457,cachaça,O,624,45,52,64,4
458,transfere,O,624,53,62,64,4
459,pouco,O,624,63,68,64,4
460,sabor,O,624,69,74,64,4
461,",",O,624,74,75,64,4
462,cor,O,624,76,79,64,4
463,e,O,624,80,81,64,4
464,aroma,O,624,82,87,64,4
465,deixando,O,624,88,96,64,4
466,-,O,624,96,97,64,4
467,a,O,624,97,98,64,4
468,leve,O,624,99,103,64,4
469,",",O,624,103,104,64,4
470,com,O,624,105,108,64,4
471,suaves,O,624,109,115,64,4
472,notas,B-CARACTERISTICA_SENSORIAL_AROMA,624,116,121,64,4
473,de,I-CARACTERISTICA_SENSORIAL_AROMA,624,122,124,64,4
474,madeira,I-CARACTERISTICA_SENSORIAL_AROMA,624,125,132,64,4
475,.,O,624,132,133,64,4
476,Esta,O,625,0,4,64,4
477,cachaça,O,625,5,12,64,4
478,é,O,625,13,14,64,4
479,ideal,O,625,15,20,64,4
480,para,O,625,21,25,64,4
481,acompanhar,O,625,26,36,64,4
482,pratos,O,625,37,43,64,4
483,de,O,625,44,46,64,4
484,entrada,O,625,47,54,64,4
485,como,O,625,55,59,64,4
486,queijos,O,625,60,67,64,4
487,",",O,625,67,68,64,4
488,saladas,O,625,69,76,64,4
489,",",O,625,76,77,64,4
490,peixes,O,625,78,84,64,4
491,e,O,625,85,86,64,4
492,crustáceos,O,625,87,97,64,4
493,.,O,625,97,98,64,4
494,Pode,O,626,0,4,64,4
495,ser,O,626,5,8,64,4
496,degustada,O,626,9,18,64,4
497,pura,O,626,19,23,64,4
498,ou,O,626,24,26,64,4
499,em,O,626,27,29,64,4
500,coquetéis,O,626,30,39,64,4
501,",",O,626,39,40,64,4
502,não,O,626,41,44,64,4
503,interferindo,O,626,45,57,64,4
504,no,O,626,58,60,64,4
505,sabor,O,626,61,66,64,4
506,final,O,626,67,72,64,4
507,do,O,626,73,75,64,4
508,drink,O,626,76,81,64,4
509,Volume,O,627,0,6,64,4
510,:,O,627,6,7,64,4
511,700ml,B-VOLUME,627,8,13,64,4
512,Graduação,O,628,0,9,64,4
513,Alcoólica,O,628,10,19,64,4
514,:,O,628,19,20,64,4
515,40%,B-GRADUACAO_ALCOOLICA,628,21,24,64,4
516,RECIPIENTE,O,629,0,10,64,4
517,DE,O,629,11,13,64,4
518,ARMAZENAMENTO,O,629,14,27,64,4
519,:,O,629,27,28,64,4
520,Tipo,O,629,29,33,64,4
521,Barril,O,629,34,40,64,4
522,:,O,629,40,41,64,4
523,Freijó,B-TIPO_MADEIRA,629,42,48,64,4
524,Tipo,O,630,0,4,64,4
525,:,O,630,4,5,64,4
526,Armazenada,O,630,6,16,64,4
527,Produtor,O,631,0,8,64,4
528,:,O,631,8,9,64,4
529,Família,B-NOME_ORGANIZACAO,631,10,17,64,4
530,Barreto,I-NOME_ORGANIZACAO,631,18,25,64,4
531,Local,O,632,0,5,64,4
532,de,O,632,6,8,64,4
533,Produção,O,632,9,17,64,4
534,:,O,632,17,18,64,4
535,Chã,B-NOME_LOCAL,632,19,22,64,4
536,Grande,I-NOME_LOCAL,632,23,29,64,4
537,/,O,632,30,31,64,4
538,PE,B-NOME_LOCAL,632,32,34,64,4
539,NOME,O,855,0,4,87,4
540,DA,O,855,5,7,87,4
541,CACHAÇA,O,855,8,15,87,4
542,:,O,855,15,16,87,4
543,Cachaça,O,855,17,24,87,4
544,Providência,B-NOME_BEBIDA,855,25,36,87,4
545,600ml,B-VOLUME,855,37,42,87,4
546,PREÇO,O,856,0,5,87,4
547,:,O,856,5,6,87,4
548,R$,B-PRECO,856,7,9,87,4
549,39,I-PRECO,856,10,12,87,4
550,",",I-PRECO,856,12,13,87,4
551,90,I-PRECO,856,13,15,87,4
552,DESCRIÇÃO,O,857,0,9,87,4
553,DA,O,857,10,12,87,4
554,CACHAÇA,O,857,13,20,87,4
555,:,O,857,20,21,87,4
556,A,O,857,22,23,87,4
557,Cachaça,O,857,24,31,87,4
558,Providência,B-NOME_BEBIDA,857,32,43,87,4
559,é,O,857,44,45,87,4
560,produzida,O,857,46,55,87,4
561,em,O,857,56,58,87,4
562,Buenópolis,B-NOME_LOCAL,857,59,69,87,4
563,/,O,857,69,70,87,4
564,MG,B-NOME_LOCAL,857,70,72,87,4
565,e,O,857,73,74,87,4
566,envelhecida,O,857,75,86,87,4
567,por,O,857,87,90,87,4
568,1,B-TEMPO_ARMAZENAMENTO,857,91,92,87,4
569,ano,I-TEMPO_ARMAZENAMENTO,857,93,96,87,4
570,em,O,857,97,99,87,4
571,tonais,B-RECIPIENTE_ARMAZENAMENTO,857,100,106,87,4
572,de,O,857,107,109,87,4
573,Carvalho,B-TIPO_MADEIRA,857,110,118,87,4
574,e,O,857,119,120,87,4
575,Amburana,B-TIPO_MADEIRA,857,121,129,87,4
576,.,O,857,129,130,87,4
577,Em,O,858,0,2,87,4
578,torno,O,858,3,8,87,4
579,dessa,O,858,9,14,87,4
580,cachaça,O,858,15,22,87,4
581,tem,O,858,23,26,87,4
582,a,O,858,27,28,87,4
583,história,O,858,29,37,87,4
584,de,O,858,38,40,87,4
585,Juscelino,B-NOME_PESSOA,858,41,50,87,4
586,Kubitschek,I-NOME_PESSOA,858,51,61,87,4
587,",",O,858,61,62,87,4
588,que,O,858,63,66,87,4
589,sempre,O,858,67,73,87,4
590,pedia,O,858,74,79,87,4
591,licença,O,858,80,87,87,4
592,para,O,858,88,92,87,4
593,tomar,O,858,93,98,87,4
594,uma,O,858,99,102,87,4
595,"""",O,858,103,104,87,4
596,providência,O,858,104,115,87,4
597,"""",O,858,115,116,87,4
598,no,O,858,117,119,87,4
599,intervalo,O,858,120,129,87,4
600,de,O,858,130,132,87,4
601,algumas,O,858,133,140,87,4
602,reuniões,O,858,141,149,87,4
603,quando,O,858,150,156,87,4
604,o,O,858,157,158,87,4
605,assunto,O,858,159,166,87,4
606,era,O,858,167,170,87,4
607,massante,O,858,171,179,87,4
608,.,O,858,179,180,87,4
609,A,O,859,0,1,87,4
610,ligação,O,859,2,9,87,4
611,entre,O,859,10,15,87,4
612,minas,B-NOME_LOCAL,859,16,21,87,4
613,gerais,I-NOME_LOCAL,859,22,28,87,4
614,e,O,859,29,30,87,4
615,Brasília,B-NOME_LOCAL,859,31,39,87,4
616,/,O,859,39,40,87,4
617,DF,B-NOME_LOCAL,859,40,42,87,4
618,é,O,859,43,44,87,4
619,antiga,O,859,45,51,87,4
620,e,O,859,52,53,87,4
621,por,O,859,54,57,87,4
622,isso,O,859,58,62,87,4
623,temos,O,859,63,68,87,4
624,nessa,O,859,69,74,87,4
625,cachaça,O,859,75,82,87,4
626,a,O,859,83,84,87,4
627,nossa,O,859,85,90,87,4
628,maior,O,859,91,96,87,4
629,expressão,O,859,97,106,87,4
630,de,O,859,107,109,87,4
631,mineiridade,O,859,110,121,87,4
632,com,O,859,122,125,87,4
633,candanguisse,O,859,126,138,87,4
634,.,O,859,138,139,87,4
635,Volume,O,860,0,6,87,4
636,:,O,860,6,7,87,4
637,600ml,B-VOLUME,860,8,13,87,4
638,NOME,O,861,0,4,88,4
639,DA,O,861,5,7,88,4
640,CACHAÇA,O,861,8,15,88,4
641,:,O,861,15,16,88,4
642,Cachaça,O,861,17,24,88,4
643,Engenho,B-NOME_BEBIDA,861,25,32,88,4
644,Fazenda,I-NOME_BEBIDA,861,33,40,88,4
645,Velha,I-NOME_BEBIDA,861,41,46,88,4
646,Prata,B-CLASSIFICACAO_BEBIDA,861,47,52,88,4
647,670ml,B-VOLUME,861,53,58,88,4
648,PREÇO,O,862,0,5,88,4
649,:,O,862,5,6,88,4
650,R$,B-PRECO,862,7,9,88,4
651,35,I-PRECO,862,10,12,88,4
652,",",I-PRECO,862,12,13,88,4
653,90,I-PRECO,862,13,15,88,4
654,DESCRIÇÃO,O,863,0,9,88,4
655,DA,O,863,10,12,88,4
656,CACHAÇA,O,863,13,20,88,4
657,:,O,863,20,21,88,4
658,Cachaça,O,863,22,29,88,4
